# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,2143957628,0.7896,-0.3154,-0.0088,47.99,30.85,8.29
1,2143962629,0.8267,-0.3389,-0.0322,52.32,32.62,10.73
2,2143967631,0.8687,-0.3560,-0.0410,54.76,34.02,13.23
3,2143972629,0.8423,-0.3691,0.0190,55.61,35.12,15.85
4,2143977628,0.8428,-0.3501,0.0269,54.45,36.10,18.17
5,2143982629,0.8540,-0.3462,0.0210,51.10,36.34,20.06
6,2143987627,0.8657,-0.3809,0.0532,45.79,36.59,21.83
7,2143992630,0.8667,-0.4370,0.1211,39.21,36.65,23.66
8,2143997628,0.8564,-0.4219,0.1025,31.46,36.95,25.18
9,2144002631,0.8833,-0.4136,0.0918,22.74,36.65,26.04
10,2144007627,0.8940,-0.4365,0.1357,13.54,36.65,26.34
11,2144012629,0.9053,-0.4634,0.1836,4.76,36.89,26.52
12,2144017628,0.9106,-0.4731,0.1821,-2.74,37.32,26.34
13,2144022629,0.9072,-0.4937,0.1895,-8.54,37.74,25.98
14,2144027627,0.8989,-0.5181,0.2012,-12.01,38.35,25.73
15,2144032629,0.8862,-0.5488,0.1992,-13.05,39.02,25.91
16,2144037629,0.8730,-0.5728,0.1812,-12.20,39.57,26.95
17,2144042629,0.8560,-0.5547,0.1636,-10.06,40.67,28.29
18,2144047629,0.8457,-0.5337,0.1460,-7.26,41.65,30.00
19,2144052629,0.8311,-0.5449,0.1533,-3.96,42.07,31.65
20,2144057628,0.8203,-0.5737,0.1821,-0.30,41.89,33.23
21,2144062629,0.8164,-0.5864,0.2163,3.54,41.59,34.45
22,2144067627,0.8174,-0.5942,0.2466,7.44,40.79,35.37
23,2144072629,0.8130,-0.6113,0.2485,11.34,39.57,35.85
24,2144077628,0.7915,-0.6504,0.2490,15.06,37.62,36.16
25,2144082629,0.7695,-0.6523,0.2632,18.29,35.06,36.46
26,2144087627,0.7422,-0.6499,0.2827,20.61,32.13,36.10
27,2144092630,0.7246,-0.6567,0.3022,21.95,29.39,35.18
28,2144097628,0.7051,-0.6475,0.3184,22.62,26.83,33.84
29,2144102631,0.6943,-0.6528,0.3135,22.50,24.09,32.26
30,2144107627,0.6992,-0.6489,0.3135,21.65,21.46,30.79
31,2144112629,0.7041,-0.6318,0.3291,20.18,18.72,29.15
32,2144117628,0.7100,-0.6289,0.3477,18.48,16.28,27.26
33,2144122631,0.7095,-0.6343,0.3462,16.89,13.78,25.61
34,2144127627,0.7080,-0.6313,0.3325,15.73,11.46,24.39
35,2144132631,0.7114,-0.6055,0.3311,14.88,9.09,23.41
36,2144137628,0.7202,-0.5913,0.3262,14.45,6.89,22.44
37,2144142629,0.7070,-0.5859,0.3281,14.33,4.88,22.01
38,2144147629,0.7046,-0.5771,0.3232,14.09,3.17,21.65
39,2144152629,0.7285,-0.5376,0.2983,14.09,1.59,21.52
40,2144157628,0.7305,-0.5298,0.3350,14.15,0.43,21.59
41,2144162629,0.7231,-0.5239,0.3081,13.96,-0.43,21.77
42,2144167627,0.7349,-0.4990,0.2910,14.09,-0.91,22.44
43,2144172629,0.7354,-0.4805,0.2881,15.00,-1.28,23.41
44,2144177629,0.7197,-0.4722,0.2656,16.77,-0.98,24.57
45,2144182629,0.7012,-0.4668,0.2495,19.21,-0.91,26.04
46,2144187628,0.7046,-0.4526,0.2500,21.46,-0.67,27.74
47,2144192629,0.6934,-0.4448,0.2412,23.29,-0.37,29.57
48,2144197631,0.6689,-0.4365,0.2300,24.51,0.06,31.46
49,2144202629,0.6548,-0.4390,0.2500,25.30,0.67,33.35
50,2144207629,0.6475,-0.4404,0.2422,25.98,1.40,35.30
51,2144212629,0.6255,-0.4443,0.2446,26.71,2.07,37.26
52,2144217628,0.6060,-0.4629,0.2393,27.38,2.74,39.09
53,2144222629,0.5972,-0.4712,0.2471,27.74,3.35,41.04
54,2144227629,0.5957,-0.4849,0.2441,27.68,4.15,42.62
55,2144232628,0.5859,-0.4971,0.2466,27.20,4.82,44.09
56,2144237629,0.5728,-0.5073,0.2524,26.40,5.67,45.43
57,2144242630,0.5688,-0.5220,0.2490,25.37,6.40,46.77
58,2144247629,0.5610,-0.5327,0.2593,24.33,6.89,48.11
59,2144252628,0.5522,-0.5430,0.2729,23.23,7.50,49.45
60,2144257630,0.5361,-0.5532,0.2910,22.38,7.99,50.67
61,2144262631,0.5410,-0.5552,0.3018,22.13,8.17,52.01
62,2144267629,0.5337,-0.5674,0.3237,22.62,8.29,53.11
63,2144272627,0.5293,-0.5762,0.3472,24.51,7.93,54.27
64,2144277630,0.5278,-0.5850,0.3579,26.28,7.56,55.12
65,2144282628,0.5259,-0.5889,0.3809,28.54,6.83,56.16
66,2144287627,0.5278,-0.5933,0.3916,30.73,5.85,57.20
67,2144292632,0.5371,-0.6030,0.4155,32.80,4.76,58.41
68,2144297628,0.5415,-0.6084,0.4326,34.57,3.29,59.63
69,2144302629,0.5464,-0.6187,0.4409,36.04,1.77,60.91
70,2144307629,0.5488,-0.6216,0.4424,37.20,0.00,62.32
71,2144312631,0.5552,-0.6206,0.4438,37.32,-2.01,63.72
72,2144317628,0.5586,-0.6172,0.4473,36.40,-3.96,65.24
73,2144322629,0.5635,-0.6133,0.4463,34.45,-5.98,66.89
74,2144327628,0.5664,-0.6147,0.4395,31.83,-8.05,68.54
75,2144332631,0.5679,-0.6157,0.4409,29.15,-10.18,70.43
76,2144337628,0.5527,-0.6201,0.4351,26.34,-12.01,72.32
77,2144343164,0.5640,-0.6182,0.4277,23.72,-14.21,74.63
78,2144347629,0.5708,-0.6113,0.4175,21.83,-15.73,76.16
79,2144352629,0.5703,-0.6172,0.4106,19.88,-17.68,78.05
80,2144357629,0.5610,-0.6177,0.4092,18.29,-19.21,79.82
81,2144362628,0.5566,-0.6250,0.3936,17.01,-20.98,81.71
82,2144367629,0.5444,-0.6230,0.3892,15.73,-22.68,83.60
