# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,2200012627,0.3936,0.9072,0.1812,-52.50,-13.78,-18.96
1,2200017631,0.4272,0.8989,0.2002,-45.18,-13.05,-18.66
2,2200022628,0.4551,0.8877,0.2065,-37.44,-12.68,-18.35
3,2200027629,0.4736,0.8945,0.2012,-29.88,-12.26,-17.80
4,2200032627,0.4849,0.9067,0.2119,-21.89,-12.62,-17.38
5,2200037629,0.5010,0.9033,0.2075,-13.60,-13.05,-16.59
6,2200042628,0.5054,0.9033,0.2109,-5.24,-13.41,-15.73
7,2200047627,0.5142,0.9087,0.2236,3.48,-13.72,-14.57
8,2200052629,0.5347,0.9175,0.2163,12.44,-14.27,-13.48
9,2200057629,0.5439,0.8901,0.2568,20.98,-14.94,-12.13
10,2200062634,0.5479,0.9014,0.3037,29.09,-15.06,-10.61
11,2200067627,0.5391,0.9038,0.3184,36.40,-14.63,-8.84
12,2200072627,0.5273,0.9170,0.2949,43.11,-14.21,-7.07
13,2200077627,0.5161,0.9121,0.2817,48.78,-13.78,-5.18
14,2200082629,0.5093,0.9067,0.2642,53.48,-13.23,-3.17
15,2200087629,0.5083,0.9082,0.2446,57.20,-12.74,-1.10
16,2200092628,0.5200,0.9346,0.2241,59.88,-12.68,1.10
17,2200097629,0.5342,0.9688,0.2036,62.07,-12.07,2.99
18,2200102629,0.5522,1.0063,0.1729,63.84,-11.65,4.51
19,2200107629,0.5635,1.0371,0.1240,65.30,-11.28,5.85
20,2200112627,0.5737,1.0625,0.1084,65.91,-10.91,7.20
21,2200117629,0.5776,1.0664,0.1133,65.79,-10.24,8.54
22,2200122631,0.5845,1.0747,0.1240,64.88,-9.57,10.06
23,2200127629,0.5981,1.0820,0.1289,62.99,-8.72,12.01
24,2200132627,0.6108,1.0962,0.1191,60.73,-7.68,13.60
25,2200137629,0.6152,1.0991,0.1377,57.93,-6.59,15.55
26,2200142628,0.6099,1.1323,0.0894,54.63,-5.49,17.26
27,2200147627,0.6226,1.1211,0.1123,50.98,-5.00,18.72
28,2200152629,0.6650,1.0444,0.2681,48.23,-2.74,20.85
29,2200157627,0.6094,1.1274,0.0562,46.95,-0.55,23.11
30,2200162627,0.5693,1.1968,-0.0225,45.30,0.30,24.39
31,2200167631,0.5596,1.1782,0.0283,43.17,0.37,24.76
32,2200172628,0.5684,1.0835,0.0874,40.55,-0.55,25.12
33,2200177629,0.5596,1.0103,0.1338,38.05,-2.01,26.16
34,2200182629,0.5376,0.9873,0.1860,35.98,-3.23,27.32
35,2200187629,0.5195,0.9990,0.2080,34.51,-3.96,28.60
36,2200192627,0.5117,0.9985,0.2090,33.54,-4.09,29.76
37,2200197632,0.5513,1.0044,0.1680,31.40,-3.96,30.61
38,2200202631,0.5371,1.0259,0.1533,28.66,-3.29,31.16
39,2200207630,0.4907,1.0273,0.1323,26.28,-1.83,31.28
40,2200212628,0.4507,1.0137,0.0850,24.27,0.12,31.59
41,2200217629,0.4443,1.0063,0.0620,22.44,2.32,31.59
42,2200222627,0.4634,0.9927,0.0815,20.61,5.30,31.59
43,2200227629,0.4897,0.9966,0.0713,18.23,7.99,31.16
44,2200232628,0.5176,0.9829,0.0498,15.00,10.49,30.30
45,2200237675,0.5317,0.9604,0.0522,11.34,12.56,29.21
46,2200242627,0.5371,0.9429,0.0723,7.56,14.45,27.87
47,2200247631,0.5386,0.9390,0.0762,3.90,16.16,26.46
48,2200252628,0.5322,0.9316,0.0747,0.85,17.93,24.88
49,2200257627,0.5229,0.9087,0.0664,-1.59,19.33,23.41
50,2200262627,0.5122,0.8823,0.0718,-3.23,20.79,22.26
51,2200267629,0.5078,0.8735,0.0693,-4.39,22.26,21.46
52,2200272629,0.4927,0.8682,0.0659,-5.18,23.48,20.79
53,2200277629,0.4824,0.8599,0.0684,-5.55,24.94,20.43
54,2200282627,0.4824,0.8550,0.0771,-5.24,26.52,20.18
55,2200287627,0.4805,0.8525,0.0820,-4.63,28.11,20.06
56,2200292629,0.4761,0.8589,0.0806,-3.96,29.82,19.94
57,2200297629,0.4805,0.8628,0.0708,-2.93,31.34,19.88
58,2200302628,0.4990,0.8687,0.0752,-1.71,32.50,19.57
59,2200307629,0.5190,0.8696,0.0820,-0.30,33.78,19.27
60,2200312628,0.5332,0.8633,0.0894,1.40,34.88,18.84
61,2200317629,0.5391,0.8623,0.0918,3.54,35.79,18.60
62,2200322627,0.5366,0.8623,0.1011,6.04,36.77,18.29
63,2200327629,0.5239,0.8711,0.1025,8.78,37.38,17.93
64,2200332628,0.5098,0.8643,0.1113,12.01,38.23,17.50
65,2200337629,0.5063,0.8540,0.1143,14.94,39.09,17.26
66,2200342627,0.5200,0.8623,0.1211,16.95,40.00,16.89
67,2200347629,0.5493,0.8740,0.1260,17.99,40.79,16.28
68,2200352628,0.5669,0.8818,0.1299,17.93,41.52,15.61
69,2200357631,0.5737,0.8818,0.1294,17.38,41.77,14.82
70,2200362627,0.5601,0.8809,0.1313,16.52,42.01,13.90
71,2200367627,0.5356,0.8745,0.1353,16.04,42.38,13.29
72,2200372629,0.5151,0.8633,0.1318,15.43,42.32,12.99
73,2200377629,0.4941,0.8516,0.1348,15.06,42.32,12.68
74,2200382629,0.4775,0.8428,0.1313,14.82,42.13,12.87
75,2200387630,0.4639,0.8281,0.1436,14.70,41.83,13.23
76,2200392629,0.4551,0.8198,0.1450,14.45,41.52,13.90
77,2200397628,0.4502,0.8242,0.1577,14.21,40.79,14.82
78,2200402629,0.4556,0.8413,0.1562,13.96,40.49,15.49
79,2200407629,0.4741,0.8540,0.1504,13.41,40.12,16.16
80,2200412629,0.4995,0.8496,0.1548,12.38,39.63,16.71
81,2200417628,0.5103,0.8350,0.1528,11.04,39.02,17.32
82,2200422629,0.5229,0.8247,0.1733,10.18,38.23,18.05
83,2200427628,0.5352,0.8418,0.1772,9.63,37.68,18.66
84,2200432629,0.5366,0.8677,0.1826,9.76,37.07,18.78
85,2200437629,0.5176,0.8652,0.1523,9.82,36.46,18.54
86,2200442630,0.4644,0.8442,0.1592,10.12,35.30,18.17
87,2200447628,0.3984,0.8291,0.2158,10.98,33.78,17.93
88,2200452629,0.3770,0.8159,0.1997,12.62,32.44,17.80
89,2200457629,0.3652,0.7905,0.1860,13.84,30.18,17.80
90,2200462628,0.3711,0.7930,0.2212,14.27,27.56,18.17
91,2200467630,0.3872,0.7891,0.2642,14.94,25.12,18.72
92,2200472629,0.3945,0.8120,0.2832,16.22,22.87,19.39
93,2200477629,0.4131,0.8423,0.2710,17.62,20.73,19.70
94,2200482627,0.4258,0.8555,0.2622,18.90,18.78,20.12
95,2200487627,0.4341,0.8506,0.2524,19.88,16.52,20.49
96,2200492631,0.4531,0.8354,0.2539,20.37,14.21,21.10
97,2200497629,0.4663,0.8276,0.2544,20.55,11.89,21.83
98,2200502628,0.4668,0.8320,0.2432,20.49,9.57,22.50
99,2200507629,0.4678,0.8369,0.2344,20.24,7.38,23.17
100,2200512627,0.4697,0.8398,0.2393,20.06,5.24,23.66
101,2200517630,0.4639,0.8389,0.2378,20.00,3.11,23.84
102,2200522628,0.4478,0.8452,0.2500,19.94,0.98,23.90
103,2200527629,0.4390,0.8481,0.2485,19.88,-1.22,23.72
104,2200532627,0.4443,0.8403,0.2544,19.63,-3.35,23.48
105,2200538154,0.4556,0.8345,0.2432,19.27,-5.30,23.23
106,2200542629,0.4644,0.8301,0.2358,19.02,-7.56,23.23
107,2200547629,0.4644,0.8242,0.2393,19.09,-9.57,23.29
108,2200552629,0.4580,0.8262,0.2324,18.84,-11.40,23.41
109,2200557630,0.4634,0.8179,0.2227,18.54,-13.17,23.48
110,2200562629,0.4722,0.8105,0.2280,17.74,-14.94,23.41
111,2200567628,0.5049,0.7891,0.2373,16.77,-16.46,23.11
112,2200572630,0.5381,0.7690,0.2183,15.91,-17.93,23.29
113,2200577629,0.5396,0.7583,0.1968,15.67,-19.21,23.78
114,2200582630,0.5391,0.7812,0.1978,16.46,-20.00,24.57
115,2200587628,0.5479,0.8125,0.2119,17.68,-20.37,24.88
116,2200592630,0.5645,0.8408,0.2148,18.41,-20.24,24.45
117,2200597628,0.5781,0.8555,0.2051,17.99,-19.94,23.66
118,2200602643,0.5791,0.8618,0.1816,15.91,-19.76,22.50
119,2200607629,0.5762,0.8174,0.1685,13.35,-19.63,21.52
120,2200612628,0.6006,0.8242,0.1567,10.85,-19.57,20.73
121,2200617630,0.6206,0.8271,0.1509,8.96,-19.51,20.06
122,2200622627,0.6187,0.8091,0.1685,7.50,-19.09,19.88
123,2200627629,0.6123,0.8101,0.1377,6.10,-18.41,19.88
124,2200632628,0.6338,0.8184,0.1494,4.02,-17.68,19.82
125,2200637629,0.6548,0.8247,0.1318,0.91,-16.77,19.76
126,2200642627,0.6528,0.8364,0.1177,-3.41,-16.04,19.45
127,2200647629,0.6523,0.8350,0.1255,-8.96,-15.43,19.21
128,2200652628,0.6616,0.8447,0.1294,-14.51,-14.94,18.66
129,2200657629,0.6592,0.8608,0.1382,-19.33,-14.45,18.17
130,2200662627,0.6621,0.8765,0.1533,-23.05,-13.96,17.62
131,2200667629,0.6616,0.8662,0.1499,-25.85,-13.54,16.95
132,2200672629,0.6479,0.8540,0.1445,-27.93,-13.41,16.40
133,2200677629,0.6338,0.8442,0.1475,-29.63,-13.29,16.10
134,2200682627,0.6245,0.8452,0.1479,-31.04,-13.11,15.79
135,2200687629,0.6191,0.8413,0.1416,-32.13,-13.05,15.67
136,2200692629,0.6357,0.8481,0.1533,-33.23,-13.05,15.49
137,2200697629,0.6509,0.8584,0.1309,-34.21,-12.74,15.49
138,2200702628,0.6602,0.8706,0.1333,-35.18,-12.74,15.30
139,2200707627,0.6611,0.8545,0.1245,-36.46,-13.11,15.24
140,2200712629,0.6714,0.8359,0.1387,-37.62,-13.35,15.43
141,2200717628,0.6475,0.8325,0.0869,-38.66,-14.15,16.04
142,2200722629,0.6484,0.8042,0.1294,-39.21,-15.24,16.95
143,2200727629,0.6519,0.8296,0.1265,-38.29,-16.46,17.93
144,2200732629,0.6519,0.8599,0.1289,-36.40,-17.68,18.54
145,2200737628,0.6465,0.8711,0.1592,-33.54,-18.84,18.72
146,2200742629,0.6436,0.8604,0.1787,-30.30,-19.63,18.60
147,2200747628,0.6499,0.8735,0.1621,-27.32,-19.82,18.17
148,2200752629,0.6665,0.8877,0.1494,-25.37,-19.51,17.32
149,2200757629,0.6748,0.8672,0.1226,-24.82,-18.78,16.04
150,2200762629,0.6733,0.8320,0.1216,-25.43,-18.11,14.63
151,2200767629,0.6660,0.8101,0.1113,-26.40,-17.26,13.23
152,2200772629,0.6763,0.7983,0.1191,-26.89,-16.04,11.95
153,2200777629,0.6851,0.7803,0.1064,-26.52,-14.63,10.61
154,2200782629,0.6797,0.7681,0.1108,-25.43,-13.96,9.63
155,2200787629,0.6675,0.7422,0.1084,-23.66,-13.05,8.66
156,2200792629,0.6572,0.7212,0.1172,-20.98,-12.74,7.74
157,2200797630,0.6523,0.7017,0.1274,-17.56,-12.44,7.01
158,2200802629,0.6528,0.6963,0.1284,-14.15,-12.44,6.22
159,2200807628,0.6499,0.6904,0.1343,-10.55,-12.38,5.55
160,2200812629,0.6489,0.6660,0.1367,-7.20,-12.20,4.63
161,2200817629,0.6484,0.6562,0.1250,-4.21,-12.07,4.02
162,2200822629,0.6460,0.6646,0.1084,-1.95,-12.01,3.54
163,2200827628,0.6455,0.6616,0.1118,-0.12,-11.95,2.80
164,2200832629,0.6372,0.6597,0.1172,1.77,-11.83,2.44
165,2200837628,0.6221,0.6582,0.1235,3.29,-11.95,2.07
166,2200842629,0.6084,0.6631,0.1299,4.88,-11.89,1.95
167,2200847629,0.6104,0.6743,0.1421,6.10,-12.01,1.95
168,2200852629,0.6157,0.6904,0.1606,6.52,-12.07,1.89
169,2200857628,0.6211,0.6978,0.1714,6.40,-12.20,1.65
170,2200862629,0.6328,0.7007,0.1753,5.73,-12.13,1.28
171,2200867629,0.6450,0.7109,0.1904,4.88,-12.13,0.85
172,2200872628,0.6650,0.7158,0.1924,4.39,-12.01,0.55
173,2200877630,0.6792,0.7280,0.1772,4.70,-12.01,0.06
174,2200882629,0.6938,0.7397,0.1919,5.85,-11.95,-0.37
175,2200887629,0.7056,0.7598,0.2007,8.48,-11.77,-0.85
176,2200892629,0.6611,0.7402,0.4448,15.37,-12.74,-0.67
