frame_index,wall_clock_us
0,1787220049880349
1,1787220049889350
2,1787220049907351
3,1787220049939856
4,1787220049970893
5,1787220050003893
6,1787220050035898
7,1787220050067918
8,1787220050099918
9,1787220050132072
10,1787220050179373
11,1787220050211374
12,1787220050248375
13,1787220050276895
14,1787220050307897
15,1787220050339896
16,1787220050371610
17,1787220050402630
18,1787220050434634
19,1787220050467667
20,1787220050499666
21,1787220050530664
22,1787220050578687
23,1787220050610691
24,1787220050643689
25,1787220050675197
26,1787220050707198
27,1787220050739198
28,1787220050771909
29,1787220050798907
30,1787220050835910
31,1787220050867428
32,1787220050898440
33,1787220050930199
34,1787220050978215
35,1787220051009212
36,1787220051042747
37,1787220051074259
38,1787220051106261
39,1787220051138262
40,1787220051170339
41,1787220051202340
42,1787220051234339
43,1787220051266341
44,1787220051297847
45,1787220051330851
46,1787220051378581
47,1787220051410601
48,1787220051442604
49,1787220051475063
50,1787220051507065
51,1787220051539068
52,1787220051571088
53,1787220051603088
54,1787220051635086
55,1787220051666186
56,1787220051698691
57,1787220051730694
58,1787220051778711
59,1787220051810708
60,1787220051842712
61,1787220051875234
62,1787220051907249
63,1787220051938337
64,1787220051970057
65,1787220052003058
66,1787220052035062
67,1787220052066591
68,1787220052099112
69,1787220052130176
70,1787220052178517
71,1787220052210519
72,1787220052242517
73,1787220052274042
74,1787220052307040
75,1787220052339046
76,1787220052370076
77,1787220052402176
78,1787220052434232
79,1787220052466748
80,1787220052498838
81,1787220052530840
82,1787220052575864
83,1787220052610863
84,1787220052643864
85,1787220052675395
86,1787220052706394
87,1787220052738397
88,1787220052769953
89,1787220052802838
90,1787220052834836
91,1787220052866841
92,1787220052898359
93,1787220052930821
94,1787220052977952
95,1787220053010951
96,1787220053044463
97,1787220053073986
98,1787220053106981
99,1787220053138994
100,1787220053170041
101,1787220053202552
102,1787220053234552
103,1787220053268158
104,1787220053298669
105,1787220053330669
106,1787220053379704
107,1787220053410277
108,1787220053443278
109,1787220053475296
110,1787220053507297
111,1787220053539296
112,1787220053570828
113,1787220053603345
114,1787220053635345
115,1787220053667351
116,1787220053700862
117,1787220053731861
118,1787220053777742
119,1787220053810746
120,1787220053843748
121,1787220053874257
122,1787220053907260
123,1787220053939301
124,1787220053970811
125,1787220054002779
126,1787220054034783
127,1787220054068849
128,1787220054098357
129,1787220054131473
130,1787220054178315
131,1787220054210318
132,1787220054243316
133,1787220054274827
134,1787220054306825
135,1787220054338827
136,1787220054371353
137,1787220054402938
138,1787220054435000
139,1787220054466999
140,1787220054499030
141,1787220054531030
142,1787220054578053
143,1787220054611058
144,1787220054643060
145,1787220054671582
146,1787220054704581
147,1787220054738581
148,1787220054771184
149,1787220054802712
150,1787220054834709
151,1787220054867722
152,1787220054899355
153,1787220054932113
154,1787220054978126
155,1787220055011855
156,1787220055043364
157,1787220055075466
158,1787220055107465
159,1787220055139467
160,1787220055167316
161,1787220055204342
162,1787220055235341
163,1787220055267346
164,1787220055299864
165,1787220055331861
166,1787220055376387
167,1787220055411759
168,1787220055443765
169,1787220055475287
170,1787220055507287
171,1787220055539284
172,1787220055571801
173,1787220055603318
174,1787220055633316
175,1787220055667323
176,1787220055698831
177,1787220055730827
178,1787220055781340
179,1787220055810864
180,1787220055842864
181,1787220055875379
182,1787220055907384
183,1787220055938745
184,1787220055971264
185,1787220056002779
186,1787220056035796
