# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,2174287629,0.4043,0.8799,0.6670,-5.55,17.38,13.41
1,2174292631,0.4248,0.8809,0.6553,-3.78,17.56,12.87
2,2174297629,0.4458,0.8794,0.6411,-3.11,17.68,12.13
3,2174302628,0.4580,0.8789,0.6338,-3.54,18.11,10.98
4,2174307629,0.4463,0.8613,0.6143,-4.94,18.35,9.70
5,2174312630,0.4468,0.8447,0.6133,-6.83,18.60,8.72
6,2174317629,0.2661,0.5405,0.7422,-6.52,20.00,10.73
7,2174322628,0.3164,0.9927,0.5410,-4.21,21.28,12.56
8,2174327629,0.4106,1.1504,0.4995,-2.68,21.65,11.59
9,2174332629,0.4761,1.0596,0.6089,-1.59,22.01,10.06
10,2174337629,0.4922,0.9009,0.6675,-1.10,21.95,9.15
11,2174342628,0.4927,0.8125,0.6772,-1.40,21.71,8.60
12,2174347629,0.4644,0.7861,0.6909,-3.05,21.04,7.50
13,2174352630,0.4463,0.8130,0.7012,-5.67,20.67,5.98
14,2174357629,0.4458,0.8413,0.6763,-8.48,19.76,3.96
15,2174362630,0.4526,0.8545,0.6616,-10.98,19.21,2.01
16,2174367629,0.4604,0.8574,0.6460,-12.99,18.35,0.06
17,2174372629,0.4468,0.8345,0.6362,-14.39,17.44,-1.40
18,2174377629,0.4175,0.8101,0.6201,-15.18,16.40,-2.56
19,2174382628,0.3970,0.7959,0.6084,-15.91,15.24,-3.60
20,2174387629,0.3843,0.7905,0.6074,-15.98,13.90,-4.27
21,2174392629,0.3711,0.7988,0.6030,-15.79,12.50,-4.94
22,2174397629,0.3784,0.8022,0.6167,-15.00,11.10,-5.61
23,2174402628,0.3965,0.8164,0.6299,-13.48,9.82,-6.34
24,2174407629,0.3833,0.8364,0.6602,-11.71,8.54,-7.38
25,2174412630,0.3779,0.8306,0.6641,-10.43,7.38,-8.23
26,2174417629,0.3682,0.8164,0.6450,-9.57,5.98,-9.15
