# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,2226382629,0.6812,0.4604,0.1714,117.87,-63.60,-1.89
1,2226387635,0.6836,0.4331,0.1494,120.37,-64.15,-3.35
2,2226392627,0.6772,0.4395,0.1299,122.13,-65.49,-5.00
3,2226397627,0.7065,0.4409,0.1294,123.54,-65.06,-7.07
4,2226402629,0.7334,0.4570,0.1016,125.24,-65.61,-9.45
5,2226407630,0.7505,0.4785,0.0811,127.26,-65.61,-12.07
6,2226412629,0.7407,0.5005,0.0625,129.76,-65.24,-14.45
7,2226417628,0.7188,0.5103,0.0415,132.56,-64.82,-16.95
8,2226422629,0.6851,0.5146,0.0273,134.02,-63.72,-18.84
9,2226427627,0.6592,0.5234,0.0142,133.78,-62.38,-20.37
10,2226432629,0.6440,0.5415,-0.0107,131.59,-61.22,-21.52
11,2226438188,0.6387,0.5664,-0.0454,125.24,-59.88,-22.62
12,2226442629,0.6372,0.5698,-0.0723,119.39,-59.27,-23.17
13,2226447628,0.6523,0.5859,-0.0464,110.67,-58.54,-23.78
14,2226452627,0.6362,0.5742,-0.0884,100.30,-57.74,-24.15
15,2226457627,0.6240,0.5718,-0.1353,90.43,-57.13,-24.33
16,2226462629,0.6108,0.5923,-0.1367,82.07,-56.04,-24.39
17,2226467627,0.6147,0.6230,-0.1440,75.55,-54.39,-24.45
18,2226472627,0.6328,0.6504,-0.1816,71.22,-52.62,-24.45
19,2226477631,0.6299,0.6689,-0.1973,68.35,-50.49,-24.70
20,2226482629,0.6255,0.6860,-0.1870,66.52,-48.11,-24.82
21,2226487731,0.6245,0.7085,-0.2002,64.88,-45.73,-24.63
22,2226492629,0.6040,0.7295,-0.2212,63.05,-43.60,-24.15
23,2226497628,0.5894,0.7529,-0.2090,60.43,-41.22,-23.17
24,2226502629,0.5742,0.7910,-0.2178,57.20,-39.02,-21.89
25,2226507627,0.5693,0.8174,-0.2197,53.29,-36.71,-20.12
26,2226512629,0.5645,0.8447,-0.2183,48.84,-34.39,-18.29
27,2226517628,0.5708,0.8545,-0.2056,44.09,-32.50,-16.22
28,2226522629,0.5767,0.8662,-0.1812,39.51,-30.37,-13.96
29,2226527628,0.5845,0.8779,-0.1562,35.06,-28.48,-11.52
30,2226532629,0.5981,0.8838,-0.1377,31.28,-26.89,-9.15
31,2226537627,0.6011,0.8906,-0.1191,28.23,-25.24,-7.01
32,2226542629,0.6235,0.8921,-0.0850,26.04,-23.54,-5.00
33,2226547628,0.6333,0.8843,-0.0688,24.70,-22.01,-3.23
34,2226552629,0.6313,0.8779,-0.0571,23.90,-20.61,-1.40
35,2226557627,0.6377,0.8633,-0.0562,23.41,-19.33,0.24
36,2226562629,0.6328,0.8481,-0.0645,23.29,-17.93,1.83
37,2226567627,0.6245,0.8325,-0.0845,23.35,-16.83,3.23
38,2226572631,0.6167,0.8169,-0.1118,23.72,-15.43,4.70
39,2226577628,0.6187,0.8032,-0.1343,24.21,-14.45,5.73
40,2226582627,0.6201,0.7837,-0.1416,24.45,-13.17,6.71
41,2226587629,0.6270,0.7603,-0.1572,24.76,-12.20,7.50
42,2226592628,0.6338,0.7480,-0.1646,25.18,-11.40,7.93
43,2226597629,0.6436,0.7266,-0.1660,25.49,-10.55,8.17
44,2226602628,0.6494,0.7134,-0.1631,25.67,-9.82,8.11
45,2226607630,0.6494,0.6963,-0.1528,25.91,-9.21,7.80
46,2226612629,0.6553,0.6860,-0.1367,25.98,-8.78,7.38
47,2226617629,0.6597,0.6782,-0.1201,25.73,-8.54,6.59
48,2226622628,0.6577,0.6631,-0.1030,25.18,-8.48,5.85
49,2226627629,0.6597,0.6548,-0.0859,24.45,-8.66,4.88
50,2226632629,0.6631,0.6475,-0.0552,23.41,-8.96,3.66
51,2226637629,0.6655,0.6309,-0.0352,22.26,-9.51,2.32
52,2226642628,0.6753,0.6138,-0.0215,21.04,-10.55,0.67
53,2226647629,0.6831,0.5923,-0.0161,19.70,-11.46,-1.34
54,2226652629,0.6929,0.5806,-0.0107,18.66,-12.68,-3.41
55,2226657629,0.6899,0.5635,-0.0117,17.99,-13.90,-5.79
56,2226662628,0.6870,0.5474,-0.0215,17.68,-15.12,-8.29
57,2226667629,0.6865,0.5391,-0.0391,17.80,-16.40,-10.85
58,2226672629,0.6851,0.5396,-0.0518,18.96,-17.56,-13.35
59,2226677629,0.6875,0.5430,-0.0752,20.67,-18.66,-15.67
60,2226682628,0.6855,0.5435,-0.0977,23.35,-19.63,-17.93
61,2226688173,0.6904,0.5737,-0.1050,27.38,-20.79,-20.37
62,2226692631,0.6846,0.5869,-0.1001,30.18,-21.52,-21.77
63,2226697628,0.6782,0.6128,-0.1064,33.05,-22.32,-23.11
64,2226702627,0.6738,0.6377,-0.1128,34.82,-23.29,-24.09
65,2226707627,0.6675,0.6685,-0.1099,35.37,-23.96,-24.70
66,2226712629,0.6523,0.6973,-0.1167,34.70,-24.94,-24.88
67,2226717627,0.6436,0.7153,-0.1221,33.23,-25.73,-24.76
68,2226722629,0.6289,0.7300,-0.1182,31.34,-26.52,-24.27
69,2226727628,0.6128,0.7480,-0.1226,29.09,-27.13,-23.41
70,2226732630,0.6060,0.7607,-0.1279,26.77,-27.74,-22.38
71,2226737627,0.5991,0.7705,-0.1284,24.57,-28.23,-21.10
72,2226742629,0.5879,0.7817,-0.1387,22.74,-28.90,-19.76
73,2226747627,0.5884,0.7827,-0.1455,21.59,-29.33,-18.29
74,2226752629,0.5869,0.7822,-0.1411,21.10,-29.76,-16.59
75,2226757628,0.5869,0.7852,-0.1392,21.59,-30.24,-14.82
76,2226762629,0.5962,0.7861,-0.1455,22.93,-30.55,-13.11
77,2226767627,0.6021,0.7983,-0.1211,24.76,-31.34,-11.46
78,2226772629,0.6201,0.7959,-0.1255,27.13,-31.83,-9.76
79,2226777629,0.6289,0.8076,-0.1411,29.57,-32.44,-8.11
80,2226782629,0.6270,0.8218,-0.1431,31.59,-33.23,-6.40
81,2226787744,0.6445,0.8354,-0.1416,33.48,-34.09,-4.21
82,2226792629,0.6562,0.8433,-0.1558,34.63,-34.51,-2.62
83,2226797627,0.6631,0.8506,-0.1553,36.10,-35.06,-0.79
84,2226802629,0.6592,0.8584,-0.1538,36.95,-35.73,1.10
85,2226807629,0.6514,0.8613,-0.1782,36.04,-36.22,3.54
86,2226812631,0.6538,0.8613,-0.1709,34.51,-36.10,5.12
87,2226817627,0.6499,0.8672,-0.2197,30.98,-36.34,7.01
88,2226822629,0.6470,0.8687,-0.2144,26.59,-36.59,8.72
89,2226827628,0.6514,0.8594,-0.2168,22.87,-36.89,10.43
90,2226832630,0.6611,0.8481,-0.2197,20.06,-36.95,11.95
