frame_index,wall_clock_us
0,1787220076238553
1,1787220076248554
2,1787220076269076
3,1787220076301309
4,1787220076333306
5,1787220076365823
6,1787220076397825
7,1787220076429353
8,1787220076461357
9,1787220076492797
10,1787220076541797
11,1787220076573309
12,1787220076606308
13,1787220076637309
14,1787220076668841
15,1787220076700996
16,1787220076732994
17,1787220076765516
18,1787220076797535
19,1787220076830672
20,1787220076861674
21,1787220076892705
22,1787220076940792
23,1787220076973302
24,1787220077005301
25,1787220077037301
26,1787220077064812
27,1787220077100985
28,1787220077132987
29,1787220077162990
30,1787220077197645
31,1787220077229644
32,1787220077260654
33,1787220077292623
34,1787220077340623
35,1787220077373137
36,1787220077404137
37,1787220077436385
38,1787220077467893
39,1787220077500498
40,1787220077532493
41,1787220077565001
42,1787220077599013
43,1787220077629007
44,1787220077661013
45,1787220077693054
46,1787220077741052
47,1787220077773572
48,1787220077804571
49,1787220077837573
50,1787220077868093
51,1787220077902609
52,1787220077933128
53,1787220077966650
54,1787220077996649
55,1787220078028648
56,1787220078060665
57,1787220078092376
58,1787220078140015
59,1787220078172537
60,1787220078205754
61,1787220078236757
62,1787220078268289
63,1787220078300799
64,1787220078332800
65,1787220078364810
66,1787220078397318
67,1787220078429384
68,1787220078459397
69,1787220078492418
70,1787220078540942
71,1787220078572452
72,1787220078604449
73,1787220078636453
74,1787220078668958
75,1787220078701200
76,1787220078733199
77,1787220078765206
78,1787220078796714
79,1787220078828715
80,1787220078860724
81,1787220078893256
82,1787220078940680
83,1787220078973209
84,1787220079004206
85,1787220079039206
86,1787220079069748
87,1787220079101071
88,1787220079133069
89,1787220079165081
90,1787220079196868
91,1787220079228868
92,1787220079260876
93,1787220079293387
94,1787220079341573
95,1787220079372003
96,1787220079405002
97,1787220079436528
98,1787220079469053
99,1787220079500717
100,1787220079532716
101,1787220079564720
102,1787220079597060
103,1787220079629063
104,1787220079661063
105,1787220079692577
106,1787220079740777
107,1787220079773332
108,1787220079805332
109,1787220079836331
110,1787220079868845
111,1787220079899852
112,1787220079930567
113,1787220079964807
114,1787220079997316
115,1787220080031316
116,1787220080060318
117,1787220080092562
118,1787220080141273
119,1787220080172783
120,1787220080206057
121,1787220080237057
122,1787220080269622
123,1787220080300628
124,1787220080333150
125,1787220080366167
126,1787220080396693
127,1787220080428220
128,1787220080461231
129,1787220080491932
130,1787220080540463
131,1787220080572009
132,1787220080604011
133,1787220080637011
134,1787220080669009
135,1787220080700152
136,1787220080733318
137,1787220080765318
138,1787220080796833
139,1787220080827834
140,1787220080861838
141,1787220080893373
142,1787220080938622
143,1787220080972015
144,1787220081005013
145,1787220081037013
146,1787220081068016
147,1787220081101487
148,1787220081142547
149,1787220081163545
150,1787220081197213
151,1787220081229211
152,1787220081261212
153,1787220081293245
154,1787220081341750
155,1787220081373266
156,1787220081406272
157,1787220081436865
158,1787220081468868
159,1787220081500894
160,1787220081533418
161,1787220081565418
162,1787220081596933
163,1787220081628933
164,1787220081660936
165,1787220081693362
166,1787220081741169
167,1787220081776309
168,1787220081805311
169,1787220081837310
170,1787220081869316
171,1787220081901822
172,1787220081931262
173,1787220081965028
174,1787220081997532
175,1787220082031533
176,1787220082057541
177,1787220082095585
178,1787220082140827
179,1787220082174452
180,1787220082204771
181,1787220082236773
182,1787220082270278
183,1787220082301287
184,1787220082333794
185,1787220082364798
186,1787220082397327
187,1787220082428326
188,1787220082462010
