frame_index,wall_clock_us
0,1787220102311231
1,1787220102321249
2,1787220102335242
3,1787220102367751
4,1787220102415282
5,1787220102448323
6,1787220102479321
7,1787220102510856
8,1787220102544429
9,1787220102576427
10,1787220102607443
11,1787220102639507
12,1787220102674029
13,1787220102704024
14,1787220102736026
15,1787220102767533
16,1787220102815540
17,1787220102847292
18,1787220102879286
19,1787220102911283
20,1787220102940052
21,1787220102976324
22,1787220103007339
23,1787220103039535
24,1787220103072055
25,1787220103103600
26,1787220103135604
27,1787220103166787
28,1787220103216318
29,1787220103248354
30,1787220103279351
31,1787220103311350
32,1787220103344869
33,1787220103374869
34,1787220103406869
35,1787220103438915
36,1787220103470507
37,1787220103502513
38,1787220103535038
39,1787220103567555
40,1787220103615557
41,1787220103646612
42,1787220103678612
43,1787220103710615
44,1787220103742615
45,1787220103775122
46,1787220103807126
47,1787220103838660
48,1787220103871166
49,1787220103903166
50,1787220103934165
51,1787220103966688
52,1787220104014695
53,1787220104046758
54,1787220104078758
55,1787220104111288
56,1787220104142399
57,1787220104174921
58,1787220104206434
59,1787220104238950
60,1787220104270462
61,1787220104302459
62,1787220104334465
63,1787220104366975
64,1787220104414990
65,1787220104449003
66,1787220104480520
67,1787220104511039
68,1787220104543033
69,1787220104575553
70,1787220104607554
71,1787220104639075
72,1787220104671276
73,1787220104702277
74,1787220104735289
75,1787220104766797
76,1787220104815800
77,1787220104846595
78,1787220104878596
79,1787220104910596
80,1787220104941403
81,1787220104975327
82,1787220105007326
83,1787220105038345
84,1787220105070855
85,1787220105103361
86,1787220105134362
87,1787220105166868
88,1787220105214573
89,1787220105247602
90,1787220105278739
91,1787220105310739
92,1787220105342753
93,1787220105375272
94,1787220105407272
95,1787220105440914
96,1787220105470474
97,1787220105502559
98,1787220105537091
99,1787220105566607
100,1787220105614609
101,1787220105646996
102,1787220105679401
103,1787220105711401
104,1787220105742413
105,1787220105773599
106,1787220105806485
107,1787220105839702
108,1787220105871224
109,1787220105903216
110,1787220105935227
111,1787220105966774
112,1787220106014774
113,1787220106047551
114,1787220106078561
115,1787220106111084
116,1787220106141831
117,1787220106174356
118,1787220106202599
119,1787220106239127
120,1787220106270674
121,1787220106302681
122,1787220106334688
123,1787220106366739
124,1787220106414735
125,1787220106445882
126,1787220106478690
127,1787220106511222
128,1787220106543234
129,1787220106575388
130,1787220106607388
131,1787220106638403
132,1787220106672453
133,1787220106703445
134,1787220106734461
135,1787220106766973
136,1787220106815197
137,1787220106848633
138,1787220106878638
139,1787220106913645
140,1787220106942162
141,1787220106974660
142,1787220107004667
143,1787220107038679
144,1787220107072717
145,1787220107104244
146,1787220107135249
147,1787220107166788
148,1787220107214826
149,1787220107247367
150,1787220107278399
151,1787220107312940
152,1787220107342945
153,1787220107375468
154,1787220107406468
155,1787220107438480
156,1787220107473396
157,1787220107502408
158,1787220107534948
159,1787220107566476
160,1787220107614476
161,1787220107645993
162,1787220107678522
163,1787220107714523
164,1787220107743518
165,1787220107775042
166,1787220107807035
167,1787220107839436
168,1787220107871482
169,1787220107903489
170,1787220107935486
171,1787220107972144
172,1787220108015145
173,1787220108046145
174,1787220108079374
175,1787220108112935
176,1787220108143122
177,1787220108175638
178,1787220108206171
179,1787220108240169
180,1787220108271404
181,1787220108304416
182,1787220108335575
183,1787220108371302
184,1787220108415309
185,1787220108445843
186,1787220108478487
187,1787220108514564
188,1787220108543568
189,1787220108575076
190,1787220108607083
191,1787220108639088
192,1787220108672790
193,1787220108702798
194,1787220108734790
195,1787220108766855
196,1787220108814862
197,1787220108846875
198,1787220108878490
199,1787220108913497
200,1787220108943339
201,1787220108974856
202,1787220109006851
203,1787220109038859
204,1787220109072152
205,1787220109103240
206,1787220109135240
207,1787220109166770
208,1787220109215339
209,1787220109249351
210,1787220109278915
211,1787220109312914
212,1787220109342935
213,1787220109375450
214,1787220109411443
