# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,2277927629,0.2334,-0.8701,0.0059,24.33,22.26,3.60
1,2277932634,0.2046,-0.9551,0.0581,27.38,19.57,2.38
2,2277937629,0.1992,-0.9492,0.1040,29.09,16.04,1.16
3,2277942627,0.2183,-1.0020,0.1040,29.21,12.07,0.00
4,2277947631,0.2554,-0.9966,0.1084,27.74,7.87,-1.10
5,2277952628,0.3027,-0.9849,0.0986,24.63,3.72,-2.01
6,2277957629,0.3408,-1.0098,0.0571,20.37,-0.98,-2.56
7,2277962627,0.3506,-1.0146,0.0684,15.00,-5.67,-2.56
8,2277967629,0.3115,-0.9678,0.1323,8.84,-9.51,-2.68
9,2277972628,0.2490,-0.9185,0.1772,2.13,-11.89,-2.93
10,2277977629,0.1963,-0.8960,0.1670,-5.43,-13.48,-3.41
11,2277982627,0.1558,-0.8955,0.1680,-13.29,-14.02,-3.72
12,2277987631,0.1221,-0.9048,0.1416,-20.91,-13.72,-3.96
13,2277992628,0.1099,-0.9141,0.1050,-27.87,-13.05,-3.78
14,2277997629,0.1060,-0.9243,0.0952,-33.78,-11.89,-3.54
15,2278002627,0.1045,-0.9185,0.0864,-38.78,-10.24,-3.23
16,2278007631,0.1055,-0.9204,0.0723,-42.50,-8.05,-2.87
17,2278012628,0.1123,-0.9209,0.0649,-45.06,-5.85,-2.50
18,2278017629,0.1309,-0.9302,0.0518,-46.28,-3.60,-2.07
19,2278022627,0.1377,-0.9463,0.0312,-45.85,-1.34,-1.34
20,2278027629,0.1553,-0.9541,-0.0010,-44.09,0.67,-0.24
21,2278032628,0.1812,-0.9331,-0.0137,-41.22,2.62,0.73
22,2278037629,0.1748,-0.9014,-0.0190,-37.62,4.39,1.59
23,2278042627,0.1592,-0.8950,-0.0239,-33.96,6.16,2.13
24,2278047631,0.1494,-0.9199,-0.0303,-30.12,7.68,2.56
25,2278052628,0.1187,-0.9268,-0.0376,-27.13,8.90,2.74
26,2278057629,0.1338,-0.9385,-0.0317,-24.88,10.06,2.87
27,2278062627,0.1387,-0.9482,-0.0210,-23.11,11.28,2.74
28,2278067629,0.1401,-0.9556,-0.0483,-22.44,12.13,2.56
29,2278072628,0.1514,-0.9736,-0.0361,-22.26,12.80,2.01
30,2278077629,0.1729,-0.9927,-0.0396,-21.95,13.29,1.71
31,2278082627,0.1816,-1.0142,-0.0498,-21.52,13.72,1.40
32,2278087629,0.1709,-1.0483,-0.0449,-20.06,14.33,1.22
33,2278092628,0.1479,-1.0156,-0.0801,-16.71,15.30,1.40
34,2278097629,0.1919,-1.0122,-0.1484,-10.18,16.10,1.52
35,2278102802,0.2349,-1.0322,-0.1582,-1.65,16.95,2.07
36,2278107629,0.2319,-1.0312,-0.1284,7.44,18.60,3.05
37,2278112628,0.2134,-0.9600,-0.1313,17.07,20.73,3.78
38,2278118094,0.2505,-0.9795,-0.1338,27.74,23.11,4.51
39,2278122631,0.2856,-0.9854,-0.1187,39.15,25.24,5.30
40,2278127628,0.2734,-0.9829,-0.1011,50.24,27.20,6.40
41,2278132629,0.2451,-0.9546,-0.0684,59.70,28.96,7.32
42,2278137629,0.2036,-0.9204,-0.0405,65.49,30.49,8.05
43,2278142629,0.1733,-0.8730,0.0005,66.77,31.59,8.29
44,2278147629,0.1562,-0.9009,0.0093,63.48,32.44,8.54
45,2278152629,0.1289,-0.9277,0.0361,56.28,32.44,9.09
46,2278157627,0.1348,-0.9097,0.0640,46.16,32.07,9.15
47,2278162629,0.1494,-0.9443,0.0444,34.27,31.22,9.21
48,2278167628,0.1177,-0.9492,0.0806,21.95,30.18,9.09
49,2278172629,0.1050,-0.9233,0.0688,9.76,29.39,8.66
50,2278177627,0.1582,-0.9556,0.0269,-0.73,28.23,7.68
51,2278182627,0.1919,-1.0327,0.0361,-9.45,27.44,7.13
52,2278187629,0.2759,-1.0112,-0.1733,-14.09,26.16,6.40
53,2278192627,0.2588,-1.0381,0.0371,-12.74,25.61,5.37
54,2278197631,0.2485,-1.0757,0.0825,-12.56,26.71,4.57
55,2278202629,0.2124,-1.0381,0.0127,-13.60,28.72,3.90
56,2278207629,0.1440,-1.0288,-0.0610,-13.72,30.79,3.41
57,2278212627,0.0977,-1.0122,-0.0742,-11.28,32.87,2.56
58,2278217629,0.0962,-1.0200,-0.0713,-7.68,33.66,1.77
59,2278222629,0.1357,-1.0352,-0.0488,-2.26,34.02,0.49
60,2278227629,0.1860,-1.0244,-0.0322,3.72,33.60,-0.73
61,2278232628,0.2197,-1.0068,-0.0361,9.70,32.68,-1.89
62,2278237629,0.2129,-0.9849,-0.0327,14.88,31.46,-3.05
63,2278242629,0.1919,-0.9678,-0.0259,19.33,29.76,-4.15
64,2278247629,0.1782,-0.9497,-0.0010,22.74,27.99,-5.37
65,2278252628,0.1807,-0.9497,0.0044,25.18,26.16,-6.71
66,2278257629,0.1860,-0.9370,0.0156,26.34,24.57,-8.11
67,2278262629,0.2065,-0.9292,0.0093,26.89,23.11,-9.63
68,2278267629,0.2402,-0.9146,-0.0146,26.95,21.83,-11.22
69,2278272628,0.2671,-0.9077,-0.0234,25.67,20.49,-12.93
70,2278277629,0.2847,-0.9038,-0.0200,22.68,19.09,-14.63
71,2278282629,0.3052,-0.8931,-0.0195,17.38,17.62,-16.40
72,2278287630,0.3457,-0.8765,-0.0264,9.82,15.73,-18.17
73,2278292627,0.3521,-0.9014,0.0107,1.16,13.84,-19.76
