frame_index,wall_clock_us
0,1787220127749738
1,1787220127759738
2,1787220127780804
3,1787220127812888
4,1787220127843896
5,1787220127877425
6,1787220127908424
7,1787220127940429
8,1787220127972410
9,1787220128005409
10,1787220128036417
11,1787220128083939
12,1787220128118478
13,1787220128148406
14,1787220128181144
15,1787220128213154
16,1787220128243916
17,1787220128275972
18,1787220128307972
19,1787220128339978
20,1787220128372052
21,1787220128404052
22,1787220128436052
23,1787220128484232
24,1787220128517243
25,1787220128548300
26,1787220128583334
27,1787220128612328
28,1787220128644327
29,1787220128678851
30,1787220128708954
31,1787220128735950
32,1787220128771916
33,1787220128803916
34,1787220128835909
35,1787220128883442
36,1787220128915809
37,1787220128947491
38,1787220128980209
39,1787220129011209
40,1787220129043210
41,1787220129075737
42,1787220129107750
43,1787220129139272
44,1787220129171304
45,1787220129203315
46,1787220129235848
47,1787220129283881
48,1787220129316881
49,1787220129348902
50,1787220129379647
51,1787220129411643
52,1787220129443651
53,1787220129474196
54,1787220129507754
55,1787220129539841
56,1787220129571932
57,1787220129603932
58,1787220129635932
59,1787220129683452
60,1787220129715452
61,1787220129747461
62,1787220129780044
63,1787220129812042
64,1787220129844044
65,1787220129875228
66,1787220129907228
67,1787220129939231
68,1787220129971361
69,1787220130003368
70,1787220130035361
71,1787220130083896
72,1787220130115429
73,1787220130147168
74,1787220130180206
75,1787220130211205
76,1787220130243893
77,1787220130275420
78,1787220130307422
79,1787220130339415
80,1787220130371100
81,1787220130404107
82,1787220130436099
83,1787220130482723
84,1787220130515723
85,1787220130547370
86,1787220130579467
87,1787220130611468
88,1787220130643471
89,1787220130675560
90,1787220130707559
91,1787220130739559
92,1787220130769602
93,1787220130803593
94,1787220130835597
95,1787220130867131
96,1787220130919132
97,1787220130948256
98,1787220130980572
99,1787220131011572
100,1787220131044571
101,1787220131076085
102,1787220131108103
103,1787220131139629
104,1787220131170336
105,1787220131203354
106,1787220131235677
107,1787220131266856
108,1787220131315856
109,1787220131347863
110,1787220131379865
111,1787220131411861
112,1787220131444868
113,1787220131475503
114,1787220131508019
115,1787220131539738
116,1787220131572292
117,1787220131604296
118,1787220131635299
119,1787220131667818
120,1787220131715809
121,1787220131747817
122,1787220131780545
123,1787220131811545
124,1787220131843542
125,1787220131876068
126,1787220131908062
127,1787220131940064
128,1787220131971243
129,1787220132003458
130,1787220132037458
131,1787220132067225
132,1787220132117696
133,1787220132149941
134,1787220132178588
135,1787220132212114
136,1787220132243643
137,1787220132276167
138,1787220132308159
139,1787220132340166
140,1787220132371705
141,1787220132403939
142,1787220132435939
143,1787220132467981
144,1787220132517233
145,1787220132547346
146,1787220132579413
147,1787220132611412
148,1787220132643405
149,1787220132675935
150,1787220132707941
151,1787220132739934
152,1787220132771468
153,1787220132803676
154,1787220132835669
155,1787220132868185
156,1787220132916193
157,1787220132948206
158,1787220132980255
159,1787220133012262
160,1787220133044263
161,1787220133076356
162,1787220133108359
163,1787220133139884
164,1787220133173415
165,1787220133206530
166,1787220133236374
167,1787220133267380
168,1787220133316962
169,1787220133348968
170,1787220133379508
171,1787220133412030
172,1787220133444029
173,1787220133475807
174,1787220133508334
175,1787220133540604
176,1787220133571862
177,1787220133604577
178,1787220133635585
179,1787220133668108
180,1787220133716112
181,1787220133748113
182,1787220133779664
183,1787220133808200
184,1787220133844196
185,1787220133875729
186,1787220133907721
187,1787220133939734
188,1787220133972779
189,1787220134003956
190,1787220134035956
191,1787220134068473
192,1787220134114993
193,1787220134147882
194,1787220134179931
195,1787220134212213
196,1787220134243429
197,1787220134275957
198,1787220134307958
199,1787220134341958
200,1787220134374494
201,1787220134405289
202,1787220134437290
203,1787220134468302
204,1787220134515982
205,1787220134548239
206,1787220134579786
207,1787220134614405
208,1787220134644413
209,1787220134675935
210,1787220134707935
211,1787220134739935
212,1787220134773456
213,1787220134803675
214,1787220134834683
215,1787220134867690
216,1787220134915890
217,1787220134947906
218,1787220134979579
219,1787220135014633
220,1787220135044619
221,1787220135075155
222,1787220135108167
223,1787220135136428
224,1787220135173951
225,1787220135204488
226,1787220135236004
