# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,195051874,0.6792,0.2520,-0.6143,-109.21,-15.85,61.04
1,195056510,0.6924,0.2593,-0.5996,-109.57,-14.70,61.10
2,195061523,0.7065,0.2593,-0.5933,-110.49,-13.90,61.40
3,195066507,0.7183,0.2568,-0.5889,-112.01,-12.93,61.46
4,195071509,0.7139,0.2539,-0.5889,-113.96,-12.38,61.46
5,195076509,0.7192,0.2529,-0.5874,-116.40,-11.71,61.71
6,195081509,0.7236,0.2583,-0.6069,-119.27,-11.10,61.83
7,195086509,0.7402,0.2651,-0.6260,-122.26,-10.85,61.83
8,195091508,0.7588,0.2681,-0.6099,-125.00,-10.73,61.89
9,195096509,0.7598,0.2534,-0.5747,-127.99,-10.00,62.07
10,195101509,0.7407,0.2607,-0.5952,-130.98,-9.21,62.44
11,195106508,0.7075,0.2681,-0.5977,-133.72,-8.41,62.80
12,195111509,0.6777,0.2808,-0.6201,-136.10,-7.44,63.23
13,195116509,0.6719,0.2827,-0.6001,-138.35,-6.40,63.60
14,195121511,0.6631,0.2871,-0.6060,-140.67,-5.00,63.96
15,195126507,0.6602,0.2876,-0.6074,-142.80,-3.78,64.39
16,195131511,0.6562,0.2866,-0.5786,-144.88,-2.32,64.94
17,195136507,0.6567,0.2925,-0.5820,-146.89,-1.04,65.55
18,195141509,0.6499,0.3003,-0.5903,-148.84,0.49,66.04
19,195146508,0.6455,0.3047,-0.5996,-150.55,1.77,66.52
20,195151510,0.6406,0.3135,-0.5972,-152.07,3.05,67.01
21,195156507,0.6406,0.3188,-0.5732,-153.48,4.15,67.38
22,195161509,0.6372,0.3120,-0.5767,-154.94,5.24,67.80
23,195166509,0.6313,0.3203,-0.5562,-156.22,6.10,68.29
24,195171510,0.6494,0.3276,-0.5610,-157.80,6.71,68.84
25,195176509,0.6440,0.3477,-0.5693,-159.02,7.20,69.15
26,195181510,0.6455,0.3584,-0.5566,-160.12,7.50,69.45
27,195186509,0.6523,0.3525,-0.5474,-160.91,7.62,69.82
28,195191508,0.6572,0.3403,-0.5532,-161.34,7.68,70.18
29,195196845,0.6543,0.3306,-0.5410,-161.46,7.62,70.61
30,195201511,0.6489,0.3433,-0.5244,-161.52,7.56,71.10
31,195206873,0.6426,0.3618,-0.5234,-161.52,7.50,71.46
32,195211510,0.6377,0.3760,-0.5254,-161.34,7.26,71.95
33,195216509,0.6445,0.3853,-0.5273,-161.28,7.01,72.26
34,195221509,0.6514,0.3877,-0.5205,-161.04,6.65,72.68
35,195226511,0.6499,0.3896,-0.5132,-160.67,6.52,72.99
36,195231508,0.6431,0.3955,-0.5200,-160.43,6.22,73.48
37,195236509,0.6406,0.4019,-0.5288,-160.18,5.85,73.66
38,195241509,0.6440,0.4072,-0.5190,-160.18,5.61,73.90
39,195246508,0.6421,0.4062,-0.5234,-160.49,5.18,74.09
40,195251509,0.6411,0.4048,-0.5347,-161.10,5.00,74.33
41,195256509,0.6421,0.4082,-0.5283,-161.77,4.70,74.63
42,195261510,0.6367,0.4077,-0.5264,-162.62,4.33,74.88
43,195266507,0.6318,0.4155,-0.5215,-163.72,3.90,75.12
44,195271510,0.6309,0.4209,-0.5337,-164.88,3.72,75.30
45,195276509,0.6216,0.4209,-0.5063,-166.22,3.23,75.30
46,195281508,0.6416,0.4209,-0.5166,-168.17,2.80,75.61
47,195286509,0.6230,0.4556,-0.5244,-169.70,2.26,75.61
48,195291509,0.6069,0.4878,-0.5127,-170.73,1.52,75.73
49,195296507,0.6133,0.4775,-0.4775,-171.34,0.67,75.91
50,195301511,0.6191,0.4585,-0.4380,-171.59,0.00,75.98
51,195306508,0.6157,0.4546,-0.4380,-171.52,-0.91,76.22
52,195311507,0.5996,0.4609,-0.4268,-171.16,-1.77,76.40
53,195316511,0.5918,0.4761,-0.3896,-170.67,-2.80,76.52
54,195321544,0.5947,0.4922,-0.3755,-170.24,-3.90,76.59
55,195326509,0.6113,0.4966,-0.3804,-169.82,-5.24,76.65
56,195331509,0.6343,0.4971,-0.3599,-169.39,-6.71,76.77
