# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,1003737629,0.3057,1.0308,-0.3843,-6.65,13.05,8.66
1,1003743032,0.2925,1.0254,-0.3809,-5.12,13.54,10.37
2,1003747743,0.2827,1.0171,-0.3770,-3.60,13.84,12.07
3,1003752629,0.2808,1.0107,-0.3862,-2.38,14.02,13.72
4,1003757628,0.2739,1.0044,-0.3838,-1.40,14.27,15.30
5,1003762629,0.2749,1.0000,-0.3857,-1.22,14.45,16.71
6,1003767628,0.2739,0.9888,-0.3877,-1.59,14.57,18.11
7,1003772629,0.2686,0.9814,-0.3853,-2.38,14.57,19.39
8,1003777628,0.2622,0.9834,-0.3813,-3.29,14.39,20.49
9,1003782629,0.2578,0.9761,-0.3823,-4.21,14.51,21.34
10,1003787629,0.2593,0.9629,-0.3770,-4.57,14.45,22.26
11,1003792627,0.2539,0.9600,-0.3677,-4.57,14.45,22.93
12,1003797629,0.2534,0.9551,-0.3701,-4.02,14.63,23.66
13,1003802629,0.2490,0.9492,-0.3608,-3.29,14.82,24.27
14,1003807629,0.2402,0.9409,-0.3584,-2.50,15.00,25.06
15,1003812629,0.2334,0.9326,-0.3618,-2.20,15.12,25.79
16,1003817627,0.2241,0.9214,-0.3550,-2.38,15.43,26.40
17,1003822629,0.2144,0.9102,-0.3506,-2.99,15.43,27.01
18,1003827628,0.2144,0.8979,-0.3423,-4.02,15.55,27.68
19,1003832631,0.2070,0.8877,-0.3379,-5.24,15.73,28.23
20,1003837627,0.2002,0.8735,-0.3306,-6.71,15.61,28.66
21,1003842629,0.1948,0.8618,-0.3286,-7.99,15.49,29.02
22,1003847629,0.1968,0.8486,-0.3228,-9.02,15.43,29.39
23,1003852627,0.2012,0.8335,-0.3169,-9.76,15.24,29.51
24,1003857627,0.1982,0.8198,-0.3071,-10.18,15.18,29.57
25,1003862627,0.1987,0.8096,-0.3052,-10.24,14.88,29.63
26,1003867627,0.2036,0.7969,-0.2993,-10.24,14.39,29.57
27,1003872629,0.2061,0.7871,-0.2979,-9.88,14.02,29.27
28,1003877627,0.2109,0.7744,-0.2930,-9.33,13.35,28.90
29,1003882629,0.2075,0.7612,-0.2852,-8.72,12.87,28.48
30,1003887627,0.2100,0.7510,-0.2783,-7.93,12.26,27.87
31,1003892627,0.2095,0.7417,-0.2764,-7.13,11.52,27.07
32,1003897632,0.2168,0.7334,-0.2734,-6.28,10.79,26.16
33,1003902627,0.2178,0.7251,-0.2759,-5.30,9.82,25.18
34,1003907628,0.2109,0.7168,-0.2700,-4.27,8.96,24.21
35,1003912627,0.2065,0.7090,-0.2676,-3.17,8.17,23.11
36,1003917627,0.1982,0.7007,-0.2671,-1.89,7.26,21.95
37,1003922629,0.2046,0.6865,-0.2642,-0.55,6.46,20.79
38,1003927627,0.2036,0.6782,-0.2554,1.10,5.49,19.57
39,1003932627,0.2021,0.6714,-0.2622,2.68,4.70,18.23
40,1003937627,0.2012,0.6626,-0.2534,4.39,3.84,16.83
41,1003942627,0.2041,0.6558,-0.2554,6.16,2.87,15.37
42,1003947631,0.2148,0.6523,-0.2495,7.68,1.95,13.84
43,1003952629,0.2314,0.6548,-0.2490,8.84,1.10,12.20
44,1003957627,0.2510,0.6592,-0.2495,9.51,0.30,10.43
45,1003962631,0.2476,0.6626,-0.2495,9.45,-0.37,8.66
46,1003967629,0.2163,0.6680,-0.2593,8.29,-1.16,7.13
47,1003972630,0.2007,0.6709,-0.2734,6.10,-1.95,5.49
48,1003977627,0.1953,0.6724,-0.2715,3.29,-2.99,4.02
49,1003982631,0.1924,0.6807,-0.2822,0.24,-3.72,2.62
50,1003987627,0.1904,0.6895,-0.2812,-2.68,-4.51,1.22
51,1003992629,0.1807,0.6963,-0.2822,-5.06,-5.24,0.00
52,1003997629,0.1919,0.7065,-0.2954,-6.89,-5.91,-1.34
53,1004002627,0.2012,0.7104,-0.3032,-7.62,-6.34,-2.68
54,1004007631,0.2061,0.7192,-0.3081,-7.62,-6.83,-3.90
55,1004012627,0.2114,0.7280,-0.3125,-6.65,-7.13,-5.06
56,1004017627,0.2148,0.7354,-0.3169,-4.94,-7.68,-6.10
57,1004022627,0.2173,0.7446,-0.3301,-2.87,-7.74,-7.07
58,1004027627,0.2041,0.7539,-0.3252,-0.61,-7.68,-7.99
59,1004032627,0.1973,0.7612,-0.3428,1.46,-7.87,-8.66
60,1004037628,0.1860,0.7651,-0.3452,3.23,-7.93,-9.33
61,1004042631,0.1895,0.7695,-0.3413,4.57,-7.93,-9.82
62,1004047627,0.1914,0.7749,-0.3486,5.67,-7.80,-10.30
63,1004052631,0.1948,0.7832,-0.3486,6.40,-7.93,-10.61
64,1004057628,0.1904,0.7905,-0.3462,6.59,-7.74,-10.98
65,1004062629,0.1948,0.7983,-0.3564,6.34,-7.68,-11.22
66,1004067629,0.1978,0.8037,-0.3604,5.73,-7.56,-11.52
67,1004072629,0.2012,0.8062,-0.3574,4.76,-7.44,-11.77
68,1004077628,0.2002,0.8096,-0.3628,3.54,-7.38,-12.01
69,1004082628,0.2026,0.8174,-0.3643,2.26,-7.13,-12.20
70,1004087631,0.2075,0.8218,-0.3613,0.91,-6.95,-12.38
71,1004092627,0.2100,0.8311,-0.3599,-0.43,-6.89,-12.80
72,1004097627,0.2109,0.8384,-0.3696,-1.52,-6.65,-12.93
73,1004102629,0.2129,0.8477,-0.3628,-2.44,-6.52,-13.29
