# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,1220347629,0.6655,0.8164,0.0430,43.17,-15.24,-9.63
1,1220352675,0.6772,0.7866,-0.0112,44.09,-16.83,-9.57
2,1220357629,0.6709,0.7954,-0.0044,45.85,-18.41,-9.51
3,1220362627,0.6543,0.8008,-0.0352,47.26,-19.70,-9.45
4,1220367628,0.6465,0.8027,-0.0688,47.87,-20.91,-9.33
5,1220372629,0.6362,0.8105,-0.0664,47.32,-21.89,-9.02
6,1220377631,0.6270,0.8149,-0.0898,45.73,-22.80,-8.78
7,1220382631,0.6440,0.8267,-0.1108,43.84,-23.54,-8.48
8,1220387628,0.6572,0.8423,-0.1138,41.95,-24.02,-8.41
9,1220392627,0.6724,0.8540,-0.1250,39.88,-24.45,-8.35
10,1220397627,0.6826,0.8633,-0.1470,37.80,-24.63,-8.23
11,1220402627,0.6982,0.8809,-0.1626,35.91,-24.82,-8.11
12,1220407631,0.7085,0.8945,-0.1812,33.72,-24.57,-7.80
13,1220412628,0.7056,0.9009,-0.2197,32.93,-24.27,-7.50
14,1220417631,0.7051,0.9214,-0.2397,32.20,-23.54,-6.65
15,1220422629,0.7070,0.9204,-0.2427,31.65,-23.05,-6.04
16,1220427628,0.6958,0.9360,-0.2603,30.61,-21.95,-5.12
17,1220432629,0.6504,0.9512,-0.2734,29.27,-20.85,-4.02
18,1220437627,0.6841,0.9580,-0.2988,27.74,-19.63,-2.62
19,1220442629,0.6646,0.9946,-0.3184,26.40,-18.11,-1.04
20,1220447628,0.6416,1.0229,-0.2896,24.21,-16.65,0.61
21,1220452631,0.6372,1.0049,-0.2842,20.06,-14.63,2.62
22,1220457627,0.6328,0.9731,-0.3110,16.71,-13.35,3.96
23,1220462627,0.6133,0.9600,-0.3008,12.07,-11.77,5.55
24,1220467629,0.5908,0.9585,-0.3125,6.65,-9.82,7.62
25,1220472628,0.5825,0.9521,-0.3188,3.48,-8.54,9.02
26,1220477724,0.5825,0.9302,-0.3105,0.49,-6.71,11.16
27,1220482631,0.5771,0.9209,-0.3047,-0.49,-5.00,12.93
28,1220487627,0.5825,0.9121,-0.2949,-0.24,-3.72,14.27
29,1220492629,0.5684,0.9014,-0.2822,1.10,-2.20,16.28
30,1220497628,0.5610,0.8921,-0.2803,1.95,-1.34,17.38
31,1220502629,0.5596,0.8882,-0.2759,2.87,-0.06,19.33
32,1220507627,0.5620,0.8779,-0.2773,2.99,0.55,20.37
33,1220512629,0.5649,0.8652,-0.2661,2.38,1.46,21.71
34,1220517628,0.5669,0.8550,-0.2642,1.52,1.95,22.50
35,1220522629,0.5718,0.8325,-0.2632,-0.85,2.50,23.48
