# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,1517112630,0.7036,-0.5493,0.4751,15.98,-0.73,0.79
1,1517117634,0.7051,-0.5410,0.4702,8.78,-0.91,0.12
2,1517122631,0.7075,-0.5459,0.4678,1.95,-0.91,-0.37
3,1517127629,0.7026,-0.5483,0.4780,-4.02,-1.10,-0.73
4,1517132628,0.7046,-0.5488,0.4834,-8.60,-1.10,-0.91
5,1517137629,0.7080,-0.5444,0.4844,-11.40,-1.16,-0.91
6,1517142629,0.7163,-0.5518,0.4805,-12.07,-1.16,-0.67
7,1517147629,0.7202,-0.5547,0.4839,-10.61,-1.46,-0.24
8,1517152628,0.7236,-0.5659,0.4829,-7.38,-1.65,0.24
9,1517157629,0.7271,-0.5664,0.4849,-2.62,-1.83,1.10
10,1517162627,0.7358,-0.5669,0.4912,3.23,-1.95,2.01
11,1517167629,0.7417,-0.5630,0.4878,9.76,-2.20,2.87
12,1517172628,0.7500,-0.5659,0.4878,16.46,-2.32,3.96
13,1517177629,0.7476,-0.5703,0.4951,22.99,-2.56,4.94
14,1517182627,0.7437,-0.5610,0.4951,28.66,-2.74,5.91
15,1517187630,0.7490,-0.5601,0.5024,33.66,-2.87,6.83
16,1517192627,0.7505,-0.5601,0.5034,37.44,-2.99,7.62
17,1517197632,0.7485,-0.5615,0.4976,40.37,-2.93,8.29
18,1517202628,0.7544,-0.5635,0.4907,41.89,-3.11,8.90
19,1517207627,0.7451,-0.5669,0.4927,42.20,-3.29,9.39
20,1517212630,0.7417,-0.5615,0.4844,40.79,-3.54,9.39
21,1517217629,0.7422,-0.5610,0.4829,37.62,-3.84,9.39
22,1517222629,0.7402,-0.5601,0.4897,32.99,-3.78,9.15
23,1517227745,0.7471,-0.5547,0.4873,27.01,-3.90,8.84
24,1517232629,0.7510,-0.5527,0.4863,20.24,-3.96,8.41
25,1517237629,0.7500,-0.5513,0.4868,13.29,-3.96,7.93
26,1517242630,0.7515,-0.5557,0.4814,6.22,-4.09,7.56
27,1517247628,0.7490,-0.5547,0.4785,-0.30,-4.39,7.32
28,1517252629,0.7529,-0.5518,0.4702,-6.46,-4.51,7.07
29,1517257629,0.7500,-0.5542,0.4673,-12.01,-4.76,7.13
30,1517262629,0.7495,-0.5518,0.4639,-16.52,-4.94,7.32
31,1517267780,0.7495,-0.5557,0.4663,-20.00,-5.06,7.87
32,1517272629,0.7515,-0.5498,0.4663,-22.07,-5.12,8.60
33,1517277629,0.7563,-0.5459,0.4644,-22.50,-5.24,9.70
34,1517282629,0.7598,-0.5278,0.4580,-21.10,-5.12,11.10
35,1517287628,0.7588,-0.5225,0.4502,-17.99,-5.24,12.87
36,1517292630,0.7666,-0.5171,0.4526,-13.54,-5.37,14.88
37,1517297629,0.7910,-0.5308,0.4404,-7.93,-5.24,17.32
38,1517302629,0.8096,-0.5361,0.4331,-2.44,-5.43,19.82
