frame_index,wall_clock_us
0,1787219366960835
1,1787219366970476
2,1787219367003337
3,1787219367035464
4,1787219367066884
5,1787219367098611
6,1787219367131225
7,1787219367163436
8,1787219367194722
9,1787219367226926
10,1787219367258625
11,1787219367290552
12,1787219367324601
13,1787219367355019
14,1787219367402853
15,1787219367435346
16,1787219367467561
17,1787219367497513
18,1787219367526292
19,1787219367562470
20,1787219367594585
21,1787219367623731
22,1787219367659284
23,1787219367689247
24,1787219367725426
25,1787219367754016
26,1787219367801565
27,1787219367835320
28,1787219367867261
29,1787219367899289
30,1787219367930885
31,1787219367962874
32,1787219367994021
33,1787219368025370
34,1787219368057797
35,1787219368089843
36,1787219368123672
37,1787219368153972
38,1787219368202191
39,1787219368235186
40,1787219368264978
41,1787219368296894
42,1787219368330997
43,1787219368362398
44,1787219368392797
45,1787219368426053
46,1787219368458447
47,1787219368490080
48,1787219368522604
49,1787219368554901
50,1787219368601966
51,1787219368631167
52,1787219368666903
53,1787219368697750
54,1787219368731523
55,1787219368762434
56,1787219368794398
57,1787219368826287
58,1787219368858564
59,1787219368891196
60,1787219368924293
61,1787219368954025
62,1787219369000886
63,1787219369032687
64,1787219369066940
65,1787219369097942
66,1787219369130492
67,1787219369162686
68,1787219369193615
69,1787219369226644
70,1787219369258041
71,1787219369290449
72,1787219369323827
73,1787219369353077
74,1787219369402076
75,1787219369434728
76,1787219369464883
77,1787219369496797
78,1787219369530418
79,1787219369562290
80,1787219369594401
81,1787219369624372
82,1787219369657657
83,1787219369689889
84,1787219369722100
85,1787219369753546
86,1787219369802497
87,1787219369834247
88,1787219369866573
89,1787219369898172
90,1787219369925374
91,1787219369961365
92,1787219369995643
93,1787219370025353
94,1787219370059328
95,1787219370091833
96,1787219370120195
97,1787219370154325
98,1787219370202197
99,1787219370230794
100,1787219370267001
101,1787219370298466
102,1787219370330884
103,1787219370361961
104,1787219370393979
105,1787219370425623
106,1787219370459554
107,1787219370489968
108,1787219370521963
109,1787219370554648
110,1787219370602591
111,1787219370634370
112,1787219370666602
113,1787219370697922
114,1787219370730405
115,1787219370762437
116,1787219370793494
117,1787219370825101
118,1787219370858869
119,1787219370889235
120,1787219370922376
121,1787219370954036
122,1787219371000739
123,1787219371035284
124,1787219371067007
125,1787219371097269
126,1787219371130165
127,1787219371160222
128,1787219371193982
129,1787219371227237
130,1787219371258506
131,1787219371290041
132,1787219371321261
133,1787219371353756
134,1787219371401540
135,1787219371434048
136,1787219371466908
137,1787219371496791
138,1787219371530386
139,1787219371561956
140,1787219371593968
141,1787219371626031
142,1787219371657720
143,1787219371690739
144,1787219371719648
145,1787219371753807
146,1787219371801794
147,1787219371834540
148,1787219371866065
149,1787219371898504
150,1787219371932113
151,1787219371963076
152,1787219371994305
153,1787219372026767
154,1787219372058951
155,1787219372091382
156,1787219372123436
157,1787219372155115
158,1787219372202845
159,1787219372234413
160,1787219372266350
161,1787219372298891
162,1787219372331747
163,1787219372364384
164,1787219372394470
165,1787219372425834
166,1787219372458564
167,1787219372491250
168,1787219372523290
169,1787219372554207
170,1787219372603199
171,1787219372631046
172,1787219372667022
173,1787219372698397
174,1787219372729738
175,1787219372763753
176,1787219372794777
177,1787219372826210
178,1787219372858832
179,1787219372893311
180,1787219372923676
181,1787219372953024
182,1787219373002025
183,1787219373034450
184,1787219373067066
185,1787219373098519
186,1787219373133240
187,1787219373163559
188,1787219373193157
189,1787219373226467
190,1787219373259386
191,1787219373291730
192,1787219373322820
193,1787219373353452
194,1787219373402202
195,1787219373434974
196,1787219373466293
197,1787219373496909
198,1787219373528430
199,1787219373562038
200,1787219373593989
201,1787219373627004
202,1787219373658592
203,1787219373693046
204,1787219373722550
205,1787219373754472
206,1787219373802537
207,1787219373834148
208,1787219373866520
209,1787219373898712
210,1787219373933405
211,1787219373962138
212,1787219373994714
213,1787219374027328
214,1787219374058599
215,1787219374093561
216,1787219374123239
