# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,1240512629,0.3706,0.8125,0.2285,39.63,-16.71,-1.10
1,1240517631,0.3291,0.7920,0.2021,36.28,-17.20,0.91
2,1240522628,0.3188,0.7905,0.1704,32.07,-17.38,3.54
3,1240527629,0.3438,0.8184,0.1650,27.07,-17.50,6.04
4,1240532629,0.3750,0.8545,0.1382,20.91,-17.62,7.80
5,1240537629,0.3638,0.8457,0.0879,13.66,-18.54,8.66
6,1240542628,0.3325,0.8208,0.1733,6.89,-20.43,8.90
7,1240547631,0.3169,0.8271,0.1963,1.04,-22.44,8.84
8,1240552630,0.3003,0.8374,0.1616,-2.07,-23.90,8.48
9,1240557992,0.3042,0.8164,0.1597,-6.28,-25.73,7.74
10,1240562629,0.3188,0.8022,0.1699,-8.90,-26.83,7.44
11,1240567628,0.3521,0.8164,0.1538,-12.20,-27.80,7.07
12,1240572627,0.3892,0.8486,0.1489,-15.00,-28.29,6.95
13,1240577627,0.4307,0.8574,0.1240,-16.95,-28.05,7.32
14,1240582629,0.4634,0.8647,0.1201,-17.38,-27.32,8.11
15,1240587631,0.4951,0.8706,0.1177,-16.10,-25.98,9.33
16,1240592628,0.5015,0.8940,0.1060,-13.05,-24.33,10.79
17,1240597629,0.5015,0.9185,0.0967,-8.66,-22.38,12.20
18,1240602629,0.5029,0.9395,0.0952,-3.23,-20.91,13.60
19,1240607627,0.4927,0.9233,0.1040,2.99,-19.33,15.00
20,1240612627,0.4746,0.9028,0.1021,8.41,-17.99,16.16
21,1240617627,0.4878,0.9097,0.1094,12.62,-17.01,17.13
22,1240622627,0.5190,0.9258,0.1216,15.30,-16.34,17.93
23,1240627629,0.5337,0.9409,0.1323,16.28,-15.98,18.72
24,1240632629,0.5400,0.9512,0.1338,15.91,-15.79,19.33
25,1240637627,0.5332,0.9609,0.1338,14.02,-15.91,20.00
26,1240642627,0.5278,0.9678,0.1245,11.28,-16.10,20.49
27,1240647627,0.5229,0.9839,0.1157,7.56,-16.40,20.79
28,1240652629,0.4741,1.0234,0.0913,2.93,-17.01,20.61
29,1240657627,0.5132,1.0054,0.1631,-1.89,-17.50,19.94
30,1240662627,0.5356,1.0020,0.1406,-8.11,-17.74,19.33
31,1240667627,0.5581,0.9976,0.1021,-15.30,-18.23,18.90
32,1240672627,0.5688,0.9990,0.1182,-22.20,-18.72,18.48
33,1240677627,0.5693,1.0088,0.1216,-27.74,-19.15,18.17
34,1240682627,0.5776,1.0127,0.1187,-31.28,-19.76,17.80
35,1240687627,0.5825,1.0093,0.1069,-33.35,-20.49,17.50
36,1240692629,0.5933,1.0015,0.0884,-33.72,-21.28,17.38
37,1240697631,0.5977,1.0088,0.0562,-32.93,-22.56,17.62
38,1240702628,0.5991,1.0034,0.0449,-30.67,-24.76,17.93
39,1240707629,0.5942,1.0269,0.0576,-27.50,-27.93,18.23
40,1240712627,0.5811,1.0195,0.0728,-22.93,-31.95,18.54
41,1240717629,0.5620,1.0615,0.0718,-17.44,-35.79,18.41
42,1240722628,0.5474,1.0840,0.0967,-12.50,-39.15,17.50
43,1240727627,0.5771,0.9604,0.1709,-9.27,-40.79,16.34
44,1240732629,0.6035,0.9297,0.0952,-8.17,-40.00,16.28
45,1240737629,0.6025,1.0112,0.0020,-9.21,-37.80,16.22
46,1240742629,0.6089,1.0630,0.0469,-11.40,-35.18,14.57
47,1240747628,0.6318,0.9419,0.1133,-14.09,-33.29,12.26
48,1240752627,0.5884,0.8423,0.1313,-15.85,-31.95,11.22
