frame_index,wall_clock_us
0,1787219120077655
1,1787219120087491
2,1787219120105605
3,1787219120153865
4,1787219120185957
5,1787219120218533
6,1787219120249623
7,1787219120281487
8,1787219120314607
9,1787219120345614
10,1787219120377190
11,1787219120405902
12,1787219120470448
13,1787219120480130
14,1787219120506071
15,1787219120553582
16,1787219120585784
17,1787219120616816
18,1787219120649500
19,1787219120681154
20,1787219120713658
21,1787219120744565
22,1787219120777204
23,1787219120809872
24,1787219120842387
25,1787219120873942
26,1787219120906806
27,1787219120955515
28,1787219120985310
29,1787219121017218
30,1787219121050811
31,1787219121081644
32,1787219121112610
33,1787219121145679
34,1787219121177978
35,1787219121210600
36,1787219121241211
37,1787219121273211
38,1787219121305139
39,1787219121354009
40,1787219121384504
41,1787219121417883
42,1787219121448621
43,1787219121480923
44,1787219121514761
45,1787219121545293
46,1787219121577199
47,1787219121608479
48,1787219121641551
49,1787219121672794
50,1787219121704630
51,1787219121752545
52,1787219121784701
53,1787219121816879
54,1787219121850059
55,1787219121880697
56,1787219121914010
57,1787219121944932
58,1787219121976941
59,1787219122009068
60,1787219122040807
61,1787219122072467
62,1787219122105592
63,1787219122153025
64,1787219122185467
65,1787219122217350
66,1787219122250722
67,1787219122280152
68,1787219122313482
69,1787219122345719
70,1787219122377045
71,1787219122409058
72,1787219122441704
73,1787219122473361
74,1787219122506900
75,1787219122553723
76,1787219122585673
77,1787219122617078
78,1787219122649482
79,1787219122681329
80,1787219122713568
81,1787219122744724
82,1787219122772768
83,1787219122809540
84,1787219122841966
85,1787219122873517
86,1787219122903682
87,1787219122952645
88,1787219122984596
89,1787219123017621
90,1787219123048925
91,1787219123080938
92,1787219123113880
93,1787219123144298
94,1787219123176975
95,1787219123209941
96,1787219123241493
97,1787219123273211
98,1787219123305191
99,1787219123353933
100,1787219123386046
101,1787219123417165
102,1787219123448881
103,1787219123481076
104,1787219123513554
105,1787219123544452
106,1787219123577644
107,1787219123609168
108,1787219123641127
109,1787219123673024
110,1787219123705853
111,1787219123753636
112,1787219123785454
113,1787219123817549
114,1787219123849084
115,1787219123880906
116,1787219123913256
117,1787219123943698
118,1787219123975802
119,1787219124008264
120,1787219124040235
121,1787219124073099
122,1787219124105444
123,1787219124153383
124,1787219124184599
125,1787219124216223
126,1787219124248841
127,1787219124281107
128,1787219124313253
129,1787219124344625
130,1787219124376964
131,1787219124408505
132,1787219124442490
133,1787219124473930
134,1787219124505256
135,1787219124553560
136,1787219124585554
137,1787219124616788
138,1787219124649610
139,1787219124681729
140,1787219124712952
141,1787219124745270
142,1787219124778827
