# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,1371342628,0.5366,0.7739,0.2749,-1.89,-14.57,-1.83
1,1371348363,0.5371,0.7998,0.2354,-5.55,-14.76,-1.52
2,1371352629,0.5469,0.8003,0.2344,-7.87,-14.82,-1.34
3,1371357628,0.5464,0.8018,0.2197,-10.49,-14.45,-1.10
4,1371362630,0.5405,0.7998,0.2275,-12.68,-14.33,-0.73
5,1371367629,0.5327,0.8037,0.2446,-14.33,-14.21,-0.18
6,1371372629,0.5176,0.8149,0.2476,-15.61,-14.21,0.43
7,1371377627,0.5020,0.8198,0.2485,-16.59,-14.39,0.98
8,1371382629,0.4956,0.8345,0.2603,-17.20,-14.76,1.59
9,1371387629,0.5088,0.8569,0.2822,-17.87,-15.30,2.13
10,1371392628,0.5234,0.8623,0.2905,-18.05,-16.04,2.44
11,1371397629,0.5371,0.8638,0.3120,-17.93,-16.65,2.80
12,1371402628,0.5464,0.8726,0.3213,-17.62,-17.07,3.17
13,1371407627,0.5381,0.8975,0.2949,-17.26,-17.56,3.66
14,1371412630,0.5127,0.8877,0.3242,-16.46,-18.29,4.45
15,1371417627,0.5024,0.8853,0.2944,-15.49,-18.60,5.30
16,1371422631,0.4927,0.8979,0.2783,-14.33,-19.09,6.71
17,1371427629,0.4678,0.9351,0.2788,-12.62,-20.24,7.87
18,1371432629,0.4473,0.9585,0.3013,-10.00,-21.52,8.72
19,1371437629,0.4512,0.9468,0.3555,-5.67,-23.48,9.09
20,1371442629,0.4839,0.9497,0.3579,-0.37,-24.45,9.63
21,1371447629,0.4917,0.9609,0.3535,5.49,-25.37,10.18
22,1371452629,0.4937,0.9531,0.3193,11.22,-26.28,10.98
23,1371457628,0.5049,0.9272,0.2671,16.65,-26.52,12.13
24,1371462627,0.5215,0.8975,0.2407,21.59,-26.34,13.90
25,1371467628,0.5474,0.8735,0.2334,26.22,-26.04,16.28
26,1371472629,0.5820,0.8403,0.2144,29.63,-25.73,18.96
27,1371477628,0.6177,0.8140,0.1880,31.40,-25.00,22.26
28,1371482629,0.6445,0.8071,0.1772,31.16,-23.78,25.61
29,1371487628,0.6694,0.8188,0.1440,28.35,-22.74,28.78
30,1371492629,0.6680,0.8457,0.0991,22.99,-22.13,31.65
31,1371497628,0.6660,0.8691,0.1328,15.55,-22.13,33.90
32,1371502629,0.6992,0.8843,0.1938,6.71,-22.07,35.61
33,1371507628,0.7593,0.8750,0.2217,-2.56,-21.28,37.01
34,1371512629,0.7612,0.8901,0.1572,-11.52,-19.51,38.60
35,1371517629,0.7041,0.8994,0.1294,-20.91,-19.21,40.00
36,1371522629,0.6812,0.8848,0.0957,-30.37,-18.54,41.10
37,1371527957,0.6709,0.8970,0.0981,-39.45,-17.62,41.89
38,1371532631,0.6523,0.9414,0.1362,-47.74,-17.68,42.26
39,1371537628,0.6279,0.9712,0.1230,-55.18,-19.51,41.59
40,1371542629,0.6333,0.9346,0.2153,-60.91,-21.28,40.30
41,1371547629,0.6499,0.9580,0.2671,-64.21,-23.35,38.35
42,1371552629,0.6597,1.0010,0.3037,-65.37,-26.34,35.49
43,1371557629,0.6768,0.9360,0.3311,-63.90,-28.48,31.89
44,1371562628,0.7183,0.8638,0.3423,-59.82,-29.39,29.02
45,1371567629,0.7529,1.0005,0.3521,-53.72,-28.23,25.61
46,1371572628,0.7124,0.8511,0.1841,-45.73,-25.73,21.65
47,1371577627,0.5859,0.7803,0.0771,-35.12,-23.84,19.82
48,1371582628,0.5146,0.6401,0.0601,-21.40,-22.74,19.88
49,1371587629,0.5103,0.6099,0.1372,-5.18,-21.59,21.65
50,1371592628,0.5630,0.7031,0.1973,10.91,-19.82,23.17
51,1371597629,0.6265,0.7446,0.1797,24.88,-18.23,23.23
52,1371602629,0.6602,0.7285,0.1890,35.37,-16.59,22.50
53,1371607807,0.6885,0.6924,0.1978,41.71,-15.00,21.46
54,1371612629,0.6826,0.6460,0.1914,43.90,-13.72,20.00
55,1371617628,0.6763,0.6123,0.1611,42.38,-12.80,18.35
56,1371622629,0.6699,0.6025,0.1606,37.62,-12.07,16.28
