# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,1611847628,0.6128,0.7134,0.2993,-6.22,-13.72,-14.94
1,1611852632,0.6157,0.7090,0.3057,-4.27,-15.43,-13.23
2,1611857630,0.6128,0.7134,0.3066,-2.38,-16.83,-11.46
3,1611862630,0.6089,0.7183,0.3022,-0.73,-18.29,-9.70
4,1611867629,0.6104,0.7212,0.3003,0.79,-19.39,-8.05
5,1611872630,0.6108,0.7310,0.3047,1.95,-20.30,-6.46
6,1611877629,0.6260,0.7480,0.2954,2.68,-21.16,-5.12
7,1611882629,0.6357,0.7676,0.2886,2.99,-22.20,-3.66
8,1611887629,0.6470,0.8140,0.2705,2.68,-23.41,-2.74
9,1611892628,0.6738,0.8970,0.2412,1.65,-25.43,-2.56
10,1611897629,0.6831,0.9219,0.2734,-0.67,-27.74,-3.35
11,1611902629,0.6885,0.8926,0.2759,-3.84,-30.37,-4.76
12,1611907629,0.6982,0.7964,0.2754,-6.16,-32.62,-5.37
13,1611912630,0.6909,0.7251,0.2769,-6.83,-33.96,-4.57
14,1611917629,0.6650,0.7241,0.2856,-5.49,-34.39,-2.68
15,1611922629,0.6440,0.7476,0.2827,-2.50,-33.78,-0.61
16,1611927629,0.6421,0.7700,0.2759,1.34,-32.50,1.46
17,1611932630,0.6416,0.8062,0.2559,5.12,-31.04,3.17
18,1611937629,0.6504,0.8218,0.2437,7.87,-29.63,4.33
19,1611942627,0.6636,0.8115,0.2324,9.27,-28.48,5.06
20,1611947630,0.6504,0.8364,0.2549,9.76,-27.26,5.55
21,1611952629,0.6211,0.8784,0.2412,9.94,-25.12,5.12
22,1611957627,0.6401,0.8198,0.1821,10.37,-22.99,4.63
23,1611962631,0.6660,0.7925,0.1807,9.76,-21.59,4.27
24,1611967628,0.6738,0.7520,0.1689,7.99,-20.61,3.84
25,1611972629,0.6704,0.7349,0.1626,5.55,-20.12,3.72
26,1611977627,0.6738,0.7168,0.1572,3.35,-19.76,3.78
27,1611982627,0.6743,0.7051,0.1421,1.77,-19.21,4.39
28,1611987627,0.6660,0.6816,0.1582,0.43,-18.60,4.94
29,1611992627,0.7119,0.6616,0.1416,-0.55,-17.87,5.61
30,1611997630,0.7373,0.6582,0.1260,-1.22,-17.13,6.46
31,1612002629,0.7495,0.6641,0.1191,-1.71,-16.59,7.07
32,1612007665,0.7554,0.6763,0.1289,-2.01,-15.91,7.68
33,1612012627,0.7715,0.6948,0.1289,-2.13,-15.00,7.87
34,1612017627,0.7832,0.7114,0.1226,-1.89,-13.90,7.87
35,1612022630,0.7876,0.7314,0.1211,-1.83,-12.93,7.50
36,1612027631,0.7783,0.7559,0.1245,-1.77,-11.65,7.07
37,1612032628,0.7705,0.7754,0.1333,-1.83,-10.30,6.65
38,1612037629,0.7690,0.7798,0.1211,-2.07,-8.96,6.04
39,1612042629,0.7705,0.7705,0.1157,-2.26,-7.44,5.55
40,1612047627,0.7651,0.7637,0.1226,-2.99,-6.10,5.18
41,1612052627,0.7598,0.7559,0.1221,-4.15,-4.51,4.82
42,1612057627,0.7422,0.7529,0.1250,-5.37,-2.99,4.51
43,1612062627,0.7329,0.7656,0.1147,-6.71,-1.83,4.27
44,1612067627,0.7378,0.7524,0.1367,-7.74,-0.61,4.21
45,1612072627,0.7500,0.7935,0.1343,-7.93,0.37,4.39
46,1612077631,0.7666,0.7612,0.1611,-6.04,1.34,4.94
47,1612082629,0.7319,0.7886,0.3765,-1.52,33.84,6.04
48,1612087627,0.7617,0.8062,0.2192,2.68,6.65,7.68
49,1612092627,0.7681,0.8135,0.2266,9.82,8.41,9.21
50,1612097627,0.7676,0.8262,0.2500,17.80,7.74,10.85
51,1612102627,0.7549,0.8823,0.2632,26.04,10.98,12.26
52,1612107627,0.7568,0.8950,0.2402,32.44,8.41,12.99
53,1612112627,0.7632,0.8374,0.2485,39.45,8.84,13.90
54,1612117627,0.7451,0.8184,0.2046,45.49,9.70,14.94
55,1612122688,0.7432,0.8115,0.2202,49.33,10.37,15.73
56,1612127631,0.7510,0.7979,0.2031,51.28,11.16,16.04
57,1612132627,0.7344,0.8188,0.1709,51.59,11.95,16.04
58,1612137627,0.6968,0.8389,0.1450,49.63,12.50,15.18
59,1612142627,0.7651,0.7886,0.1221,45.06,12.32,13.78
60,1612147627,0.8140,0.7461,0.1377,37.80,12.32,12.44
61,1612152627,0.8154,0.7114,0.1147,28.66,11.95,10.85
62,1612157627,0.7793,0.6846,0.1050,19.09,11.40,9.63
63,1612162627,0.7480,0.6567,0.1045,9.45,10.98,8.29
64,1612167627,0.7168,0.6235,0.1152,-0.61,10.18,7.07
65,1612172627,0.6875,0.6279,0.1201,-10.79,9.88,6.16
66,1612177627,0.6714,0.6084,0.1196,-20.55,9.39,5.18
67,1612182656,0.6626,0.6045,0.1250,-29.76,9.09,4.33
68,1612187761,0.6616,0.6074,0.1255,-38.66,8.66,3.60
69,1612192631,0.6636,0.6069,0.1411,-47.13,8.41,3.05
70,1612197631,0.6616,0.6206,0.1318,-55.12,7.74,2.32
71,1612202627,0.6631,0.6138,0.1460,-62.87,6.83,1.71
72,1612207627,0.6602,0.6250,0.1519,-70.24,5.61,1.28
73,1612212627,0.6484,0.6362,0.1455,-76.95,4.15,0.73
74,1612217627,0.6440,0.6323,0.1675,-82.56,2.44,0.18
75,1612222627,0.6323,0.6294,0.1987,-86.83,0.55,-0.30
76,1612228505,0.6265,0.6162,0.2197,-90.00,-1.28,-0.67
77,1612232630,0.6416,0.6094,0.2061,-90.67,-1.77,-0.73
78,1612237627,0.6411,0.6074,0.2812,-90.00,0.73,-0.67
79,1612242628,0.6616,0.6255,0.2861,-87.99,-3.54,-0.61
80,1612247628,0.6650,0.6514,0.3042,-84.70,-2.44,-0.73
81,1612252629,0.6689,0.6782,0.3071,-80.73,-4.15,-1.04
82,1612257627,0.6709,0.6777,0.3120,-76.04,-4.15,-1.40
83,1612262627,0.6729,0.6729,0.3354,-70.79,-4.82,-1.77
84,1612267629,0.6675,0.6758,0.3340,-64.88,-4.70,-2.13
85,1612272629,0.6714,0.6577,0.3394,-58.54,-4.09,-2.62
86,1612278166,0.6704,0.6558,0.3369,-53.23,-4.70,-2.68
87,1612282630,0.6704,0.6631,0.3174,-48.05,-6.46,-2.87
88,1612287629,0.6738,0.6533,0.3110,-42.50,-7.44,-2.80
89,1612293070,0.6704,0.6597,0.3062,-37.13,-8.41,-2.68
90,1612297629,0.6670,0.7202,0.2900,-31.77,-10.61,-2.68
91,1612302630,0.7026,0.6738,0.3242,-26.16,-13.54,-2.74
92,1612307630,0.7339,0.6631,0.3262,-20.18,-16.52,-2.32
93,1612312629,0.7412,0.6724,0.3140,-12.74,-18.96,-1.46
94,1612317628,0.7305,0.6704,0.3125,-4.27,-21.04,-0.55
95,1612322629,0.7056,0.6665,0.3101,4.76,-22.56,0.43
96,1612327628,0.6895,0.6499,0.2969,13.60,-23.84,1.40
97,1612332629,0.6982,0.6475,0.2837,21.77,-25.12,2.26
98,1612337629,0.7266,0.6372,0.2686,28.96,-26.10,3.05
99,1612342629,0.7588,0.6235,0.2588,34.88,-26.95,3.90
100,1612347628,0.7842,0.6187,0.2466,39.63,-27.68,4.51
101,1612352809,0.7798,0.6211,0.2373,43.17,-27.87,5.00
102,1612357629,0.6743,0.6289,0.2666,46.16,-27.62,5.37
103,1612362628,0.6772,0.6411,0.2441,49.51,-26.59,5.61
104,1612367629,0.7222,0.6533,0.2275,52.56,-25.43,6.04
105,1612372627,0.7529,0.6860,0.2134,54.15,-24.09,6.22
106,1612377628,0.7744,0.7324,0.1890,54.63,-22.99,5.98
107,1612382629,0.7900,0.7568,0.1650,53.41,-22.01,5.37
108,1612387629,0.7993,0.7661,0.1313,50.12,-21.52,4.21
109,1612392629,0.8032,0.7539,0.0845,44.51,-21.65,3.05
110,1612397630,0.8027,0.7295,0.0669,36.65,-22.38,1.65
111,1612402629,0.7891,0.7017,0.0669,27.13,-23.29,0.55
112,1612407629,0.7622,0.6758,0.0664,17.07,-23.96,-0.30
113,1612412630,0.7236,0.6577,0.0820,7.93,-24.33,-0.67
114,1612417628,0.6904,0.6421,0.0972,0.06,-24.27,-0.73
115,1612422629,0.6704,0.6362,0.1201,-6.40,-23.48,-0.49
116,1612427629,0.6636,0.6323,0.1353,-12.01,-22.44,-0.24
117,1612432629,0.6714,0.6362,0.1367,-16.59,-21.40,0.49
118,1612437628,0.6680,0.6372,0.1401,-20.85,-20.00,0.98
119,1612442629,0.6597,0.6445,0.1548,-24.82,-18.84,1.65
120,1612447629,0.5938,0.6562,0.1807,-28.66,-17.44,2.07
121,1612452629,0.6401,0.6987,0.1919,-32.07,-15.85,2.44
122,1612457628,0.6777,0.7378,0.1997,-35.00,-14.21,2.20
123,1612462629,0.7139,0.7798,0.2139,-37.20,-12.26,1.77
124,1612467630,0.7397,0.8086,0.2261,-38.48,-10.06,1.10
125,1612472629,0.7471,0.8345,0.2256,-38.54,-7.56,0.43
126,1612477630,0.7437,0.8438,0.2295,-37.93,-5.00,-0.43
127,1612482947,0.7354,0.8218,0.2275,-37.01,-2.50,-0.85
128,1612487629,0.7256,0.7896,0.2192,-35.98,-0.24,-0.73
129,1612492628,0.7104,0.7485,0.2051,-35.49,1.71,-0.24
130,1612497629,0.7065,0.7158,0.2085,-35.49,3.11,0.85
131,1612502627,0.7104,0.6855,0.2168,-35.67,4.45,2.50
132,1612507629,0.7251,0.6611,0.2256,-35.61,5.73,4.39
133,1612512628,0.7241,0.6455,0.2358,-34.88,7.01,6.65
134,1612517629,0.7295,0.6304,0.2500,-33.66,8.41,9.09
135,1612522629,0.7144,0.6104,0.2539,-31.71,10.18,11.95
136,1612527629,0.6938,0.6069,0.2612,-29.39,11.95,14.70
137,1612532628,0.6704,0.6118,0.2725,-26.77,13.84,17.68
138,1612537629,0.6494,0.6201,0.2788,-24.33,15.73,20.43
139,1612542951,0.6533,0.6528,0.2827,-22.32,17.62,22.74
140,1612547629,0.6821,0.6831,0.2778,-20.91,19.21,24.76
141,1612552628,0.7217,0.7056,0.2783,-20.30,20.30,26.04
142,1612557629,0.7568,0.7202,0.2671,-21.28,20.79,26.52
143,1612562627,0.7686,0.7100,0.2700,-23.72,20.55,26.65
144,1612567629,0.7568,0.6914,0.2744,-26.89,19.57,26.28
145,1612572628,0.7310,0.6704,0.2754,-30.61,18.35,25.91
146,1612577629,0.7173,0.6665,0.2632,-33.96,16.59,25.61
147,1612582627,0.7109,0.6572,0.2729,-37.20,14.39,25.37
148,1612587629,0.7080,0.6499,0.2822,-40.12,11.83,24.94
149,1612592628,0.7061,0.6479,0.2856,-42.68,9.27,24.82
150,1612597630,0.7012,0.6650,0.2832,-44.63,6.22,24.51
151,1612602629,0.7002,0.7192,0.2573,-46.28,2.74,23.78
152,1612607630,0.7036,0.8022,0.2822,-48.29,-1.65,22.01
153,1612612629,0.7368,0.8760,0.2993,-50.98,-6.65,18.60
154,1612617629,0.7979,0.7900,0.4102,-52.50,-11.22,14.39
155,1612622627,0.8320,0.6079,0.4546,-50.98,-14.33,11.71
156,1612627629,0.8291,0.5347,0.4546,-44.15,-15.49,11.04
157,1612632629,0.7925,0.5562,0.4438,-32.87,-15.43,11.34
158,1612637628,0.7935,0.6030,0.4536,-19.45,-14.45,11.16
159,1612642629,0.8008,0.6646,0.4717,-6.28,-13.35,10.12
160,1612647628,0.7998,0.6753,0.4595,5.67,-12.62,8.05
161,1612652629,0.8013,0.6250,0.4365,15.85,-11.77,5.61
162,1612657629,0.8066,0.5845,0.3853,23.60,-11.40,3.05
163,1612662629,0.7964,0.5386,0.3623,28.54,-11.83,0.67
164,1612667628,0.7651,0.5137,0.3354,30.61,-12.80,-1.83
165,1612672629,0.7319,0.5117,0.3354,30.55,-14.39,-4.39
166,1612677629,0.7251,0.5327,0.3325,29.63,-15.73,-7.07
167,1612682629,0.7427,0.5332,0.3247,28.84,-17.13,-9.82
168,1612687629,0.7642,0.5234,0.3267,28.96,-18.23,-12.44
169,1612692627,0.7764,0.5137,0.3364,29.76,-19.27,-15.00
170,1612697629,0.7754,0.5210,0.3394,31.59,-20.00,-17.38
171,1612702628,0.7744,0.5474,0.3359,34.09,-20.79,-19.76
172,1612707629,0.7627,0.5688,0.3247,37.20,-21.28,-22.32
173,1612712627,0.7920,0.5889,0.3223,40.49,-21.46,-24.82
174,1612717629,0.8169,0.5908,0.2959,43.35,-21.77,-26.89
175,1612722628,0.7915,0.6060,0.2759,45.30,-22.07,-28.66
176,1612727629,0.7476,0.6235,0.2432,45.91,-22.44,-29.94
177,1612732627,0.7046,0.6309,0.2056,45.24,-22.99,-30.67
178,1612737629,0.6763,0.6489,0.1860,43.41,-23.60,-30.79
179,1612742628,0.6650,0.6704,0.1431,40.37,-24.27,-30.79
180,1612747629,0.6519,0.6831,0.1665,38.29,-23.90,-30.49
181,1612752627,0.6606,0.7026,0.1626,35.37,-23.84,-30.06
