frame_index,wall_clock_us
0,1787219461659000
1,1787219461668738
2,1787219461688207
3,1787219461736057
4,1787219461768189
5,1787219461800007
6,1787219461832310
7,1787219461864493
8,1787219461896029
9,1787219461928181
10,1787219461960244
11,1787219461992126
12,1787219462050033
13,1787219462058380
14,1787219462088594
15,1787219462135512
16,1787219462167960
17,1787219462198930
18,1787219462232111
19,1787219462264934
20,1787219462295172
21,1787219462328276
22,1787219462360695
23,1787219462392638
24,1787219462424077
25,1787219462455396
26,1787219462486693
27,1787219462536226
28,1787219462567700
29,1787219462599744
30,1787219462631027
31,1787219462662307
32,1787219462694993
33,1787219462727026
34,1787219462759068
35,1787219462791008
36,1787219462823276
37,1787219462854689
38,1787219462887013
39,1787219462935030
40,1787219462967182
41,1787219462999219
42,1787219463031153
43,1787219463062703
44,1787219463095642
45,1787219463127910
46,1787219463159357
47,1787219463191269
48,1787219463223277
49,1787219463255079
50,1787219463286390
51,1787219463335425
52,1787219463367022
53,1787219463398819
54,1787219463430935
55,1787219463462566
56,1787219463495195
57,1787219463526991
58,1787219463559031
59,1787219463591056
60,1787219463623359
61,1787219463655229
62,1787219463689790
63,1787219463735410
64,1787219463768151
65,1787219463800113
66,1787219463831826
67,1787219463862990
68,1787219463894483
69,1787219463926468
70,1787219463958639
71,1787219463990856
72,1787219464023333
73,1787219464055380
74,1787219464087935
75,1787219464135207
76,1787219464167609
77,1787219464199096
78,1787219464230795
79,1787219464263213
80,1787219464295791
81,1787219464326792
82,1787219464359482
83,1787219464391419
84,1787219464423730
85,1787219464454981
86,1787219464486827
87,1787219464535072
88,1787219464567649
89,1787219464598657
90,1787219464630841
91,1787219464661965
92,1787219464694729
93,1787219464726795
94,1787219464758676
95,1787219464790772
96,1787219464823092
97,1787219464853811
98,1787219464885516
99,1787219464935905
100,1787219464967265
101,1787219464998924
102,1787219465030972
103,1787219465063471
104,1787219465095073
105,1787219465126323
106,1787219465159014
107,1787219465190929
108,1787219465224092
109,1787219465255168
110,1787219465286959
111,1787219465335514
112,1787219465367052
113,1787219465399197
114,1787219465431105
115,1787219465462716
116,1787219465494999
117,1787219465526875
118,1787219465558884
119,1787219465591022
120,1787219465623207
121,1787219465655161
122,1787219465686988
123,1787219465735526
124,1787219465766712
125,1787219465798715
126,1787219465831720
127,1787219465863175
128,1787219465894553
129,1787219465926685
130,1787219465958694
131,1787219465994844
132,1787219466023255
133,1787219466055836
134,1787219466088158
135,1787219466134938
136,1787219466167627
137,1787219466199447
138,1787219466231404
139,1787219466262876
140,1787219466295000
141,1787219466327591
142,1787219466359091
143,1787219466391026
144,1787219466423365
145,1787219466456015
146,1787219466486353
147,1787219466534894
148,1787219466568494
149,1787219466599574
150,1787219466631253
151,1787219466662721
152,1787219466695040
153,1787219466726607
154,1787219466759677
155,1787219466790676
156,1787219466823444
157,1787219466855832
158,1787219466888080
159,1787219466935213
160,1787219466967434
